probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
story_v2_1k,source,strongreject,136,9.38782489740082,0.0,77.94117647058823,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,technique,aim,32,79.36046511627907,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,technique,aim,32,35.31976744186046,0.0,100.0,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,technique,aim,32,84.66569767441861,0.0,100.0,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,technique,aim,32,26.74418604651163,0.0,100.0,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,technique,creative_form_poetry,12,81.3953488372093,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,technique,creative_form_poetry,12,22.28682170542636,0.0,100.0,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,technique,creative_form_poetry,12,90.50387596899225,0.0,100.0,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,technique,creative_form_poetry,12,31.007751937984498,0.0,100.0,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,technique,creative_task_distractor,12,82.36434108527132,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,technique,creative_task_distractor,12,13.372093023255815,0.0,100.0,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,technique,creative_task_distractor,12,93.9922480620155,0.0,100.0,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,technique,creative_task_distractor,12,10.271317829457363,0.0,100.0,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,technique,dev_mode,24,84.01162790697674,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,technique,dev_mode,24,29.36046511627907,0.0,100.0,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,technique,dev_mode,24,74.61240310077521,0.0,100.0,43,0,42,0.805767441860465,0.14439534883720928,nan
story_v2_1k,technique,dev_mode,24,7.461240310077519,0.0,100.0,43,0,42,0.9593953488372092,0.053744186046511634,nan
eval_v2,technique,encoding,8,87.5,0.0,100.0,43,0,42,0.705906976744186,0.256906976744186,nan
harm_v2,technique,encoding,8,90.11627906976744,0.0,100.0,43,0,42,0.6385581395348837,0.2213953488372093,nan
persona_v2,technique,encoding,8,25.58139534883721,0.0,87.5,43,0,42,0.805767441860465,0.14439534883720928,nan
