axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2,harm,4,0.1429,-0.03448682528607945,0.9558262959695978,0.7355671537365532,-0.041129418158579956
story_v2,harm,5,0.1786,-0.010187934761752986,0.9666541754685957,0.8059159483202775,-0.011542654985638674
story_v2,harm,6,0.2143,-0.09655894487500546,0.9647723575374644,0.8408107020637802,-0.10720893213489527
story_v2,harm,7,0.25,-0.037043802290836134,0.968595172307555,0.8574895157833263,-0.040647140455236576
story_v2,harm,8,0.2857,-0.03370578796684079,0.9698881838890294,0.870962662989314,-0.03667278407232179
story_v2,harm,9,0.3214,0.06911220839758067,0.9773984957481728,0.8860719891315284,0.07426504243797724
story_v2,harm,10,0.3571,0.016391923572735514,0.9807786562068366,0.8655892247197868,0.01779051403619022
story_v2,harm,11,0.3929,0.05957100383985317,0.9827119445683864,0.852246425735057,0.06509373729597023
story_v2,harm,12,0.4286,0.04335570502828704,0.9802312479531174,0.8522999989647349,0.04743356183368907
story_v2,harm,13,0.4643,0.055253238884722465,0.9822125101882971,0.8676440652152357,0.05985276388105976
story_v2,harm,14,0.5,0.10621055162550297,0.9889633016184353,0.9426094990225466,0.11000480876501162
story_v2,harm,15,0.5357,0.03772858089328184,0.9908883200710604,0.9598915657416175,0.03868539429211242
story_v2,harm,16,0.5714,0.008512365442745435,0.9908632018039448,0.9688338287066397,0.008687979002087577
story_v2,harm,17,0.6071,0.004298572531284132,0.9904032275836617,0.9692688070363602,0.004387287728576702
story_v2,harm,18,0.6429,0.0050803691494996465,0.9896853535418265,0.9766218030415232,0.0051675357603189484
story_v2,harm,19,0.6786,0.0860253175985637,0.985069134324651,0.9836868697100878,0.08739055385751576
story_v2,harm,20,0.7143,0.07544817665890832,0.9863085008524171,0.984789480699089,0.07655448868526436
story_v2,harm,21,0.75,0.09358582485079033,0.9857940707728898,0.9871298412660462,0.09487020328510598
story_v2,harm,22,0.7857,0.04158942022445727,0.9837464474457621,0.9836830169588047,0.04227792761928456
story_v2,harm,23,0.8214,0.061481710672296526,0.9809008669984538,0.9812600776868194,0.06266734833254384
story_v2,harm,24,0.8571,0.07040719307744531,0.9791485352831972,0.9820814057301868,0.07179909946383783
story_v2,harm,25,0.8929,0.08261720965107734,0.976490821805606,0.980462926641511,0.08443467803158615
story_v2,harm,26,0.9286,0.0770325079651082,0.9750995543548479,0.980418743324114,0.07878503927677452
story_v2,harm,27,0.9643,0.07107335211978277,0.9717411803950868,0.9762566736812188,0.07297086382070804
story_v2,harm,28,1.0,0.14778576923153225,0.9780147282971788,0.9747028105603296,0.15136442301747033
story_v2,persona,0,0.0,0.0,nan,nan,nan
story_v2,persona,1,0.0357,0.05102133629410834,0.9639914556120917,0.9807364394581873,0.052473384976953294
story_v2,persona,2,0.0714,0.03593852758082027,0.9503323577101083,0.980029579342514,0.03723942182940336
story_v2,persona,3,0.1071,0.0013437090161813466,0.9480033530056668,0.9812703705553872,0.0013931758956005629
story_v2,persona,4,0.1429,0.021858481965155857,0.9558262959695978,0.9824426402501872,0.022556769864920386
story_v2,persona,5,0.1786,0.052324311193683894,0.9666541754685957,0.9818331782694316,0.05370925179712262
story_v2,persona,6,0.2143,-0.06673296469635381,0.9647723575374644,0.9865641854371523,-0.06840145198705931
story_v2,persona,7,0.25,-0.06600629641445654,0.968595172307555,0.9894453768822388,-0.06742458833017205
story_v2,persona,8,0.2857,-0.0691159447792979,0.9698881838890294,0.9861898483250799,-0.07067033515418314
story_v2,persona,9,0.3214,-0.04440699487092674,0.9773984957481728,0.9817321928663794,-0.04533347752131255
story_v2,persona,10,0.3571,-0.08612121916082194,0.9807786562068366,0.9851393625185081,-0.08761446836354818
story_v2,persona,11,0.3929,-0.06858357939505152,0.9827119445683864,0.9860420713644398,-0.0696721651904979
story_v2,persona,12,0.4286,-0.06972925488203993,0.9802312479531174,0.98535969383417,-0.0709501562512269
story_v2,persona,13,0.4643,-0.024491832940039884,0.9822125101882971,0.9848024112922416,-0.0249025606285274
story_v2,persona,14,0.5,0.042639132687360796,0.9889633016184353,0.9772237224276012,0.043373180904487385
story_v2,persona,15,0.5357,0.0726949965378166,0.9908883200710604,0.9728973374579357,0.07403867843460486
story_v2,persona,16,0.5714,0.09241817911789692,0.9908632018039448,0.9744402929256423,0.09405306234593229
story_v2,persona,17,0.6071,0.1066903245481183,0.9904032275836617,0.9683344857606814,0.10894475167814856
story_v2,persona,18,0.6429,0.1267272372620649,0.9896853535418265,0.9672403184595746,0.12952517860260468
story_v2,persona,19,0.6786,0.12520006332328978,0.985069134324651,0.9627745101539094,0.1285608991066339
story_v2,persona,20,0.7143,0.18940526953547382,0.9863085008524171,0.9566716119049731,0.19498635729399574
story_v2,persona,21,0.75,0.17266373114561573,0.9857940707728898,0.9556518471105909,0.17789271724875277
story_v2,persona,22,0.7857,0.1788893493547119,0.9837464474457621,0.9503053624042848,0.1850168599668614
story_v2,persona,23,0.8214,0.15878063920170865,0.9809008669984538,0.9475677319866599,0.16469478788660913
story_v2,persona,24,0.8571,0.14612197985195324,0.9791485352831972,0.9437161881353375,0.152009439013766
story_v2,persona,25,0.8929,0.1479226963180736,0.976490821805606,0.9409009818171022,0.15432232965795048
story_v2,persona,26,0.9286,0.1485579590392507,0.9750995543548479,0.9400662174403586,0.1551644485359841
story_v2,persona,27,0.9643,0.15721180273607196,0.9717411803950868,0.933896654044872,0.16502906314562055
story_v2,persona,28,1.0,0.20510652734488252,0.9780147282971788,0.9375815935206171,0.21419150764914405
story_v2,eval,0,0.0,0.0,nan,nan,nan
story_v2,eval,1,0.0357,-0.25288806228858274,0.9639914556120917,0.7928906949878393,-0.2892577980644828
story_v2,eval,2,0.0714,-0.25240190823538533,0.9503323577101083,0.667333550175431,-0.3169446284921867
story_v2,eval,3,0.1071,-0.28719632096125064,0.9480033530056668,0.5926326267628856,-0.3831608753873624
story_v2,eval,4,0.1429,-0.2628163981281033,0.9558262959695978,0.6860803303865359,-0.32454542217399623
story_v2,eval,5,0.1786,-0.13765544386229855,0.9666541754685957,0.7195566304710989,-0.16505372716225947
story_v2,eval,6,0.2143,-0.16884351521032467,0.9647723575374644,0.6853692469372179,-0.20763934622028363
story_v2,eval,7,0.25,-0.14603776866510396,0.968595172307555,0.716229819028327,-0.17533468584158188
story_v2,eval,8,0.2857,-0.0790195071318258,0.9698881838890294,0.7793789002132036,-0.090886454172904
story_v2,eval,9,0.3214,-0.09183846149503741,0.9773984957481728,0.7870839625349924,-0.10470760713380062
story_v2,eval,10,0.3571,-0.0910127587051079,0.9807786562068366,0.7132806583092481,-0.10881444509132163
story_v2,eval,11,0.3929,-0.09364853551325768,0.9827119445683864,0.6086061013892335,-0.12109319048393904
story_v2,eval,12,0.4286,-0.08756528843483836,0.9802312479531174,0.5861462110387125,-0.1155220082483797
story_v2,eval,13,0.4643,-0.11319800902303827,0.9822125101882971,0.6696122157669809,-0.13958037916441876
story_v2,eval,14,0.5,-0.05260947433811424,0.9889633016184353,0.8354081551940029,-0.05787946646634011
story_v2,eval,15,0.5357,-0.07696113474473099,0.9908883200710604,0.8176127044492285,-0.08550377558991976
story_v2,eval,16,0.5714,-0.07179700637143469,0.9908632018039448,0.8036901419405074,-0.08045539394849485
story_v2,eval,17,0.6071,-0.07093829552238222,0.9904032275836617,0.783388558150591,-0.08053526900280815
story_v2,eval,18,0.6429,-0.04316079327940218,0.9896853535418265,0.7843379981268987,-0.04898794470757827
story_v2,eval,19,0.6786,-0.011262235213355622,0.985069134324651,0.7690387575204408,-0.012939488946256373
story_v2,eval,20,0.7143,-0.00911782678618116,0.9863085008524171,0.790988368969119,-0.010322856749224932
story_v2,eval,21,0.75,0.021072150264297457,0.9857940707728898,0.7951171481335072,0.023801273441025783
story_v2,eval,22,0.7857,-0.002909258920912163,0.9837464474457621,0.7953838830096392,-0.0032889130564951207
story_v2,eval,23,0.8214,-0.023792356746594728,0.9809008669984538,0.7812415110101427,-0.027178923312530752
story_v2,eval,24,0.8571,-0.01297887043390633,0.9791485352831972,0.7572009592398141,-0.015073254430674888
story_v2,eval,25,0.8929,-0.046285382426321,0.976490821805606,0.7555714965193352,-0.053885509122598686
story_v2,eval,26,0.9286,-0.04867322667817983,0.9750995543548479,0.7572128393802682,-0.056644359981402936
story_v2,eval,27,0.9643,-0.058089438502491327,0.9717411803950868,0.7591228180351856,-0.06763412126558173
story_v2,eval,28,1.0,-0.18033796456870801,0.9780147282971788,0.8038451820353016,-0.20338937394736012
story_v2,length,0,0.0,0.0,nan,nan,nan
story_v2,length,1,0.0357,-0.05723849151398554,0.9639914556120917,0.9907076248240395,-0.058570486940900286
story_v2,length,2,0.0714,-0.20778139472197005,0.9503323577101083,0.9930661151857147,-0.21388474832932713
story_v2,length,3,0.1071,-0.23474522054786978,0.9480033530056668,0.9881925419976476,-0.24253311017459883
story_v2,length,4,0.1429,-0.25591384959162217,0.9558262959695978,0.9872233279938933,-0.2634490264449121
story_v2,length,5,0.1786,-0.1471060652399275,0.9666541754685957,0.9872880925222832,-0.150582001042114
story_v2,length,6,0.2143,-0.18339047591361915,0.9647723575374644,0.9896456679138492,-0.18768280595848325
story_v2,length,7,0.25,-0.12269570379619688,0.968595172307555,0.9887854010240004,-0.12537391374427082
story_v2,length,8,0.2857,-0.14422166713117895,0.9698881838890294,0.9877554559856109,-0.14734824199832966
story_v2,length,9,0.3214,-0.12227086825522636,0.9773984957481728,0.9862720460181416,-0.12453424753748854
story_v2,length,10,0.3571,-0.11500684124158765,0.9807786562068366,0.9840304766285025,-0.11706684056908348
story_v2,length,11,0.3929,-0.10576244506034688,0.9827119445683864,0.9830580185076487,-0.10760409273303863
story_v2,length,12,0.4286,-0.11712583965067959,0.9802312479531174,0.9822437932790534,-0.11936549385775741
story_v2,length,13,0.4643,-0.1575917680473394,0.9822125101882971,0.9842325493540243,-0.1602809602354742
story_v2,length,14,0.5,-0.12011098132031363,0.9889633016184353,0.9821320272159026,-0.12187305292773562
story_v2,length,15,0.5357,-0.14005157100793986,0.9908883200710604,0.980155101858108,-0.14211117417837962
story_v2,length,16,0.5714,-0.10854036319695129,0.9908632018039448,0.9782457417418194,-0.11024538980467513
story_v2,length,17,0.6071,-0.07165477193502759,0.9904032275836617,0.9766502660847681,-0.07285671039360943
story_v2,length,18,0.6429,-0.057410837680187427,0.9896853535418265,0.9753608351119551,-0.05843360166677146
story_v2,length,19,0.6786,-0.05536736257703653,0.985069134324651,0.9663337502538476,-0.05674882930749683
story_v2,length,20,0.7143,0.013246843933041806,0.9863085008524171,0.9563464145026334,0.013639498884137293
story_v2,length,21,0.75,-0.026253380192657445,0.9857940707728898,0.9539635715205902,-0.027072367176661203
story_v2,length,22,0.7857,-0.012864373693972591,0.9837464474457621,0.9439330510464838,-0.013349852348956935
story_v2,length,23,0.8214,-0.030661896667623124,0.9809008669984538,0.9332817274843668,-0.03204646093741096
story_v2,length,24,0.8571,-0.030153271534424382,0.9791485352831972,0.919388199085931,-0.031780497158062374
story_v2,length,25,0.8929,-0.055102700235370866,0.976490821805606,0.903626428674636,-0.058660307654548896
story_v2,length,26,0.9286,-0.042989158230383094,0.9750995543548479,0.9044425775335182,-0.045776645319744715
