probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
length,harm,18,0.6429,0.7007692307692307,0.5431816744904787,0.07501450931945956,offdiag_pooled,0.7538461538461538,49,0,65,0.7538461538461538,0.6229892655620295,0.6229892655620295,,0.05307692307692313,0.07980759107155078,0.6092307692307694,0.8307692307692308,0.2832660614347236,-0.008256410256410234,,,
length,length,18,0.6429,0.7716666666666666,0.9167452859655902,0.9999999999999999,diag_heldout,1.0,9,0,9,1.0,11.758623963888281,11.758623963888281,,0.2283333333333334,10.841878677922692,1.0,1.0,5.774766214746782,0.25366666666666665,,,
length,length,18,0.6429,0.7716666666666666,0.9167452859655902,0.9999999999999999,diag_lopo,1.0,21,0,21,1.0,7.814720113040889,7.814720113040889,,0.2283333333333334,6.8979748270752985,1.0,1.0,4.90822316061775,0.25366666666666665,,,
length,persona,18,0.6429,0.6815384615384615,0.43567421123967265,0.2837839463224525,offdiag_pooled,1.0,65,0,65,1.0,1.744473509629313,1.744473509629313,,0.31846153846153846,1.3087992983896402,0.9661538461538463,1.0,1.4329651606551086,0.27333333333333343,,,
length,story_v1,18,0.6429,0.8007692307692308,1.0724392054042213,-0.03581007441228842,offdiag_pooled,0.2,13,0,65,0.8,-0.7109367208414025,0.7109367208414025,,-0.0007692307692307443,-0.36150248456281886,0.21743589743589745,0.9384615384615385,-0.6684406544645367,0.023487179487179467,,,
length,story_v2,18,0.6429,0.7984615384615383,1.1317981046481653,-0.057410839118252524,offdiag_pooled,0.12307692307692308,8,0,65,0.8769230769230769,-1.0912403737348675,1.0912403737348675,,0.07846153846153858,-0.04055773091329784,0.21641025641025644,0.9538461538461538,-0.9024349459201424,0.036820512820512796,,,
persona,eval,18,0.6429,0.6069230769230769,0.26888373334254545,0.25605462348312635,offdiag_pooled,0.7692307692307693,50,0,65,0.7692307692307693,0.7425834150834201,0.7425834150834201,,0.16230769230769237,0.4736996817408746,0.7682051282051284,0.9230769230769231,0.6533586796673838,0.17025641025641033,,,
persona,harm,18,0.6429,0.7007692307692307,0.5431816744904787,-0.20184131824889126,offdiag_pooled,0.16923076923076924,11,0,65,0.8307692307692307,-0.9082141438026764,0.9082141438026764,,0.13,0.3650324693121977,0.4717948717948718,0.8307692307692307,-0.10084816384000603,-0.015435897435897432,,,
persona,length,18,0.6429,0.7716666666666666,0.9167452859655902,0.2837839463224525,offdiag_pooled,1.0,30,0,30,1.0,4.137709516301016,4.137709516301016,,0.2283333333333334,3.220964230335426,0.9577777777777778,1.0,2.934828837048564,0.21144444444444446,,,
persona,persona,18,0.6429,0.6815384615384615,0.43567421123967265,1.0000000000000002,diag_heldout,1.0,15,0,15,1.0,2.5225286801363733,2.5225286801363733,,0.31846153846153846,2.086854468896701,1.0,1.0,2.1524946301819217,0.30717948717948723,,,
persona,persona,18,0.6429,0.6815384615384615,0.43567421123967265,1.0000000000000002,diag_lopo,1.0,50,0,50,1.0,2.834335045675532,2.834335045675532,,0.31846153846153846,2.3986608344358595,1.0,1.0,2.6173168648233847,0.30717948717948723,,,
persona,story_v1,18,0.6429,0.8007692307692308,1.0724392054042213,0.19396914450668068,offdiag_pooled,1.0,65,0,65,1.0,2.4372661433317875,2.4372661433317875,,0.1992307692307692,1.3648269379275662,0.8800000000000002,1.0,1.5117169214249857,0.12092307692307692,,,
persona,story_v2,18,0.6429,0.7984615384615383,1.1317981046481653,0.12672723678636114,offdiag_pooled,0.9846153846153847,64,0,65,0.9846153846153847,2.2468113168719763,2.2468113168719763,,0.18615384615384634,1.115013212223811,0.8317948717948718,1.0,1.6734637082313002,0.1383589743589744,,,
random_20260731,eval,18,0.6429,,,,null_pooled,0.4661538461538461,,,65,0.6069230769230769,-0.09666702758471002,0.26888373334254545,,,,0.4879487179487179,0.6169230769230769,-0.027608973557029827,nan,0.13121856595893797,20,0.3057040870189667
random_20260731,harm,18,0.6429,,,,null_pooled,0.4523076923076923,,,65,0.7007692307692307,-0.16020119575002095,0.5431816744904787,,,,0.5172820512820514,0.7869230769230768,0.047253789963369756,nan,0.23392711149228568,20,0.6295619010925293
random_20260731,length,18,0.6429,,,,null_pooled,0.45500000000000007,,,30,0.7716666666666666,-0.038890870770534415,0.9167452859655902,,,,0.48011111111111116,0.8400000000000001,-0.10082156099653519,nan,0.32611033902097347,20,0.7212288975715637
random_20260731,persona,18,0.6429,,,,null_pooled,0.5053846153846153,,,65,0.6815384615384615,-0.005602717284760655,0.43567421123967265,,,,0.47902564102564094,0.7692307692307693,-0.0663665624851502,nan,0.21907054305407675,20,0.5684794783592224
random_20260731,story_v1,18,0.6429,,,,null_pooled,0.4453846153846155,,,65,0.8007692307692308,-0.15112977243738063,1.0724392054042213,,,,0.5177435897435898,0.8253846153846153,0.0688553321800081,nan,0.34395523091240016,20,0.7482120394706726
random_20260731,story_v2,18,0.6429,,,,null_pooled,0.4892307692307692,,,65,0.7984615384615383,-0.03604733795714371,1.1317981046481653,,,,0.5265641025641026,0.8038461538461539,0.08928126495983019,nan,0.3511284473611434,20,0.769219160079956
