probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,band_mean_auroc,band_max_folded,band_mean_cohens_dz,band_mean_excess,auroc_sd,n_draws,axis_mean_paired_cos
persona,persona,12,0.4286,0.7107692307692306,0.7203161520918497,0.9999999999999998,diag_lopo,1.0,50,0,50,1.0,3.058181677408434,3.058181677408434,,0.2892307692307694,2.3378655253165843,1.0,1.0,2.6173168648233847,0.30717948717948723,,,
persona,story_v1,12,0.4286,0.7892307692307693,0.8366885333001173,0.03752739197187743,offdiag_pooled,0.5846153846153846,38,0,65,0.5846153846153846,0.27414398117825334,0.27414398117825334,0.75,-0.20461538461538464,-0.5625445521218639,0.8800000000000002,1.0,1.5117169214249857,0.12092307692307692,,,
persona,story_v2,12,0.4286,0.7538461538461539,0.7701271874044429,-0.06972925479896513,offdiag_pooled,0.2923076923076923,19,0,65,0.7076923076923076,-0.5295518218209704,0.5295518218209704,,-0.04615384615384632,-0.24057536558347248,0.8317948717948718,1.0,1.6734637082313002,0.1383589743589744,,,
random_20260731,eval,18,0.6429,,,,null_pooled,0.4661538461538461,,,65,0.6069230769230769,-0.09666702758471002,0.26888373334254545,,,,0.4879487179487179,0.6169230769230769,-0.027608973557029827,nan,0.13121856595893797,20,0.3057040870189667
random_20260731,harm,18,0.6429,,,,null_pooled,0.4523076923076923,,,65,0.7007692307692307,-0.16020119575002095,0.5431816744904787,,,,0.5172820512820514,0.7869230769230768,0.047253789963369756,nan,0.23392711149228568,20,0.6295619010925293
random_20260731,length,18,0.6429,,,,null_pooled,0.45500000000000007,,,30,0.7716666666666666,-0.038890870770534415,0.9167452859655902,,,,0.48011111111111116,0.8400000000000001,-0.10082156099653519,nan,0.32611033902097347,20,0.7212288975715637
random_20260731,persona,18,0.6429,,,,null_pooled,0.5053846153846153,,,65,0.6815384615384615,-0.005602717284760655,0.43567421123967265,,,,0.47902564102564094,0.7692307692307693,-0.0663665624851502,nan,0.21907054305407675,20,0.5684794783592224
random_20260731,story_v1,18,0.6429,,,,null_pooled,0.4453846153846155,,,65,0.8007692307692308,-0.15112977243738063,1.0724392054042213,,,,0.5177435897435898,0.8253846153846153,0.0688553321800081,nan,0.34395523091240016,20,0.7482120394706726
random_20260731,story_v2,18,0.6429,,,,null_pooled,0.4892307692307692,,,65,0.7984615384615383,-0.03604733795714371,1.1317981046481653,,,,0.5265641025641026,0.8038461538461539,0.08928126495983019,nan,0.3511284473611434,20,0.769219160079956
story_v1,eval,16,0.5714,0.6169230769230769,0.28429686843321067,-0.0692667400980918,offdiag_pooled,0.38461538461538464,25,0,65,0.6153846153846154,-0.36750860579674605,0.36750860579674605,0.75,-0.0015384615384614886,0.08321173736353538,0.38153846153846155,0.7230769230769231,-0.30890082910824945,0.020512820512820513,,,
story_v1,harm,16,0.5714,0.7115384615384617,0.5755070280251348,-0.08137089843590442,offdiag_pooled,0.18461538461538463,12,0,65,0.8153846153846154,-0.700691109654343,0.700691109654343,,0.1038461538461537,0.12518408162920824,0.2892307692307693,0.9076923076923077,-0.5879645155555263,0.0655897435897436,,,
story_v1,length,16,0.5714,0.7866666666666667,1.00876948455192,-0.07794442578133139,offdiag_pooled,0.26666666666666666,8,0,30,0.7333333333333334,-0.8442763186703486,0.8442763186703486,,-0.053333333333333344,-0.16449316588157137,0.2688888888888889,0.9,-0.634395886363146,-0.015222222222222196,,,
story_v1,persona,16,0.5714,0.6907692307692308,0.5182441994392748,0.1502468375019771,offdiag_pooled,0.8923076923076924,58,0,65,0.8923076923076924,1.0406710720388925,1.0406710720388925,,0.20153846153846156,0.5224268725996177,0.7415384615384614,0.9230769230769231,0.7227811822341906,0.04871794871794879,,,
story_v1,story_v1,16,0.5714,0.7746153846153846,0.8500198338345113,1.0,diag_heldout,1.0,15,0,15,1.0,7.960848594142658,7.960848594142658,,0.2253846153846154,7.110828760308147,1.0,1.0,5.851128985143601,0.2409230769230769,,,
story_v1,story_v1,16,0.5714,0.7746153846153846,0.8500198338345113,1.0,diag_lopo,1.0,50,0,50,1.0,5.475286094446326,5.475286094446326,,0.2253846153846154,4.625266260611815,1.0,1.0,5.0567794349314035,0.2409230769230769,,,
story_v1,story_v2,16,0.5714,0.7223076923076923,0.7012497338187187,0.8313288413392199,offdiag_pooled,1.0,65,0,65,1.0,4.0028551963203585,4.0028551963203585,,0.2776923076923077,3.30160546250164,1.0,1.0,4.07537209255169,0.2398974358974359,,,
story_v2,eval,16,0.5714,0.6169230769230769,0.28429686843321067,-0.07179700712913394,offdiag_pooled,0.2923076923076923,19,0,65,0.7076923076923076,-0.4613448242302023,0.4613448242302023,,0.09076923076923071,0.17704795579699162,0.4123076923076923,0.7076923076923076,-0.21113204905586144,0.0010256410256410367,,,
story_v2,harm,16,0.5714,0.7115384615384617,0.5755070280251348,0.00851236516090874,offdiag_pooled,0.49230769230769234,32,0,65,0.5076923076923077,0.04811463567707009,0.04811463567707009,0.65,-0.203846153846154,-0.5273923923480647,0.6758974358974359,0.8615384615384616,0.48061826321370443,-0.02056410256410254,,,
