axis,layer,depth,n_half,split_cos,reliability
story_v1,18,0.6429,25,0.9706341349383424,0.9850982663189398
story_v1,19,0.6786,25,0.9561352362588262,0.9775758020569852
story_v1,20,0.7143,25,0.9438900654769616,0.9711352326350456
story_v1,21,0.75,25,0.9276108885269082,0.9624462011996561
story_v1,22,0.7857,25,0.9188712513710987,0.9577205877825664
story_v1,23,0.8214,25,0.9211000203717673,0.958929790853386
story_v1,24,0.8571,25,0.9162082972304675,0.956272132371706
story_v1,25,0.8929,25,0.9129124520577884,0.9544738454451857
story_v1,26,0.9286,25,0.9054006349700148,0.9503519819959155
story_v1,27,0.9643,25,0.8928054194420925,0.9433673533175411
story_v1,28,1.0,25,0.8700551496857449,0.9305128245356338
harm,0,0.0,25,0.0,nan
harm,1,0.0357,25,0.5126607151645417,0.6778264418783115
harm,2,0.0714,25,0.5537798884373372,0.7128163938256185
harm,3,0.1071,25,0.5689856873480968,0.7252911125146052
harm,4,0.1429,25,0.581736828420935,0.7355671537365532
harm,5,0.1786,25,0.6749239697043039,0.8059159483202775
harm,6,0.2143,25,0.725343741147999,0.8408107020637802
harm,7,0.25,25,0.7505309821040609,0.8574895157833263
harm,8,0.2857,25,0.7714206027015302,0.870962662989314
harm,9,0.3214,25,0.7954481622566473,0.8860719891315284
harm,10,0.3571,25,0.7630297980076712,0.8655892247197868
harm,11,0.3929,25,0.7425343251759092,0.852246425735057
harm,12,0.4286,25,0.7426156645429387,0.8522999989647349
harm,13,0.4643,25,0.7662290968432605,0.8676440652152357
harm,14,0.5,25,0.8914488054802809,0.9426094990225466
harm,15,0.5357,25,0.9228764368457782,0.9598915657416175
harm,16,0.5714,25,0.9395516025234429,0.9688338287066397
harm,17,0.6071,25,0.9403701116771696,0.9692688070363602
harm,18,0.6429,25,0.9543117157900026,0.9766218030415232
harm,19,0.6786,25,0.967897432781846,0.9836868697100878
harm,20,0.7143,25,0.9700347484354572,0.984789480699089
harm,21,0.75,25,0.9745867550288163,0.9871298412660462
harm,22,0.7857,25,0.9678899726887,0.9836830169588047
harm,23,0.8214,25,0.9632096045266801,0.9812600776868194
harm,24,0.8571,25,0.9647936595899069,0.9820814057301868
harm,25,0.8929,25,0.9616746190619017,0.980462926641511
harm,26,0.9286,25,0.9615896103470435,0.980418743324114
harm,27,0.9643,25,0.953614688939349,0.9762566736812188
harm,28,1.0,25,0.9506539378041299,0.9747028105603296
persona,0,0.0,25,0.0,nan
persona,1,0.0357,25,0.9622010218209457,0.9807364394581873
persona,2,0.0714,25,0.9608411768556725,0.980029579342514
persona,3,0.1071,25,0.963229440072684,0.9812703705553872
persona,4,0.1429,25,0.9654911645391084,0.9824426402501872
persona,5,0.1786,25,0.9643146460033131,0.9818331782694316
persona,6,0.2143,25,0.9734846265155068,0.9865641854371523
persona,7,0.25,25,0.9791112268920247,0.9894453768822388
persona,8,0.2857,25,0.9727559412339591,0.9861898483250799
persona,9,0.3214,25,0.9641198376190567,0.9817321928663794
persona,10,0.3571,25,0.9707139346376257,0.9851393625185081
persona,11,0.3929,25,0.9724684264674712,0.9860420713644398
persona,12,0.4286,25,0.9711418793894487,0.98535969383417
persona,13,0.4643,25,0.970059840809702,0.9848024112922416
persona,14,0.5,25,0.9554618579412906,0.9772237224276012
persona,15,0.5357,25,0.9472250174583607,0.9728973374579357
persona,16,0.5714,25,0.9501546191839525,0.9744402929256423
persona,17,0.6071,25,0.9386128278938032,0.9683344857606814
persona,18,0.6429,25,0.9365589456560459,0.9672403184595746
persona,19,0.6786,25,0.9282210277118925,0.9627745101539094
persona,20,0.7143,25,0.9169419933562077,0.9566716119049731
persona,21,0.75,25,0.9150701750815367,0.9556518471105909
persona,22,0.7857,25,0.905316011312511,0.9503053624042848
persona,23,0.8214,25,0.9003598243670052,0.9475677319866599
persona,24,0.8571,25,0.8934305132153746,0.9437161881353375
persona,25,0.8929,25,0.8883975583618343,0.9409009818171022
persona,26,0.9286,25,0.8869103267660609,0.9400662174403586
persona,27,0.9643,25,0.8759907354086661,0.933896654044872
persona,28,1.0,25,0.8824975055049666,0.9375815935206171
eval,0,0.0,25,0.0,nan
eval,1,0.0357,25,0.6568507853394863,0.7928906949878393
eval,2,0.0714,25,0.5007506193791238,0.667333550175431
eval,3,0.1071,25,0.4210930550420245,0.5926326267628856
eval,4,0.1429,25,0.522163071497644,0.6860803303865359
eval,5,0.1786,25,0.5619589648356234,0.7195566304710989
eval,6,0.2143,25,0.5213397338685923,0.6853692469372179
eval,7,0.25,25,0.5579112442744384,0.716229819028327
eval,8,0.2857,25,0.6385100997757093,0.7793789002132036
eval,9,0.3214,25,0.648918753007831,0.7870839625349924
eval,10,0.3571,25,0.5543405117171829,0.7132806583092481
eval,11,0.3929,25,0.4374074818043221,0.6086061013892335
eval,12,0.4286,25,0.4145734273339077,0.5861462110387125
eval,13,0.4643,25,0.5033210795399918,0.6696122157669809
eval,14,0.5,25,0.7173398636783077,0.8354081551940029
eval,15,0.5357,25,0.6914931406366082,0.8176127044492285
eval,16,0.5714,25,0.67180767300886,0.8036901419405074
eval,17,0.6071,25,0.6439102339525409,0.783388558150591
eval,18,0.6429,25,0.645194138599697,0.7843379981268987
eval,19,0.6786,25,0.6247465240833617,0.7690387575204408
eval,20,0.7143,25,0.6542438043335211,0.790988368969119
eval,21,0.75,25,0.6599124113201424,0.7951171481335072
eval,22,0.7857,25,0.6602799612185529,0.7953838830096392
eval,23,0.8214,25,0.6410142108283147,0.7812415110101427
eval,24,0.8571,25,0.6092706337918118,0.7572009592398141
eval,25,0.8929,25,0.6071634444293126,0.7555714965193352
eval,26,0.9286,25,0.6092860172474539,0.7572128393802682
eval,27,0.9643,25,0.6117630568669049,0.7591228180351856
eval,28,1.0,25,0.6720243650425402,0.8038451820353016
length,0,0.0,10,0.0,nan
length,1,0.0357,10,0.981586356135227,0.9907076248240395
length,2,0.0714,10,0.986227725734815,0.9930661151857147
length,3,0.1071,10,0.9766606622456325,0.9881925419976476
length,4,0.1429,10,0.9747690238938884,0.9872233279938933
length,5,0.1786,10,0.974895313496654,0.9872880925222832
length,6,0.2143,10,0.9795035627456133,0.9896456679138492
length,7,0.25,10,0.9778195469342391,0.9887854010240004
length,8,0.2857,10,0.9758071424799596,0.9877554559856109
length,9,0.3214,10,0.9729159012969191,0.9862720460181416
length,10,0.3571,10,0.9685629873650097,0.9840304766285025
length,11,0.3929,10,0.9666805347784165,0.9830580185076487
length,12,0.4286,10,0.9651071511945785,0.9822437932790534
length,13,0.4643,10,0.9689546054346428,0.9842325493540243
length,14,0.5,10,0.9648913743985393,0.9821320272159026
length,15,0.5357,10,0.9610825171983535,0.980155101858108
length,16,0.5714,10,0.9574178270707366,0.9782457417418194
length,17,0.6071,10,0.9543660722402336,0.9766502660847681
length,18,0.6429,10,0.9519066501996595,0.9753608351119551
length,19,0.6786,10,0.934860503079364,0.9663337502538476
length,20,0.7143,10,0.9163446835157223,0.9563464145026334
length,21,0.75,10,0.9119793016265572,0.9539635715205902
length,22,0.7857,10,0.8938193283880831,0.9439330510464838
length,23,0.8214,10,0.8749092909821596,0.9332817274843668
length,24,0.8571,10,0.8508034044309324,0.919388199085931
length,25,0.8929,10,0.8241957415867628,0.903626428674636
length,26,0.9286,10,0.8255546984450186,0.9044425775335182
length,27,0.9643,10,0.8183833981457038,0.9001219423585259
length,28,1.0,10,0.8300162035621794,0.9071135019968991
