axis,basis,basis_axes,layer,depth,resid_frac
harm_v2,story_v2_1k,story_v2_1k,28,1.0,0.99149899718636
eval_v2,others,story_v2_1k+persona_v2+harm_v2,0,0.0,0.0
eval_v2,others,story_v2_1k+persona_v2+harm_v2,1,0.0357,0.9569627542763407
eval_v2,others,story_v2_1k+persona_v2+harm_v2,2,0.0714,0.9579949574825571
eval_v2,others,story_v2_1k+persona_v2+harm_v2,3,0.1071,0.9573258636802813
eval_v2,others,story_v2_1k+persona_v2+harm_v2,4,0.1429,0.972372865659746
eval_v2,others,story_v2_1k+persona_v2+harm_v2,5,0.1786,0.9870709566773486
eval_v2,others,story_v2_1k+persona_v2+harm_v2,6,0.2143,0.9813396185673636
eval_v2,others,story_v2_1k+persona_v2+harm_v2,7,0.25,0.9894058784462003
eval_v2,others,story_v2_1k+persona_v2+harm_v2,8,0.2857,0.9947792877987566
eval_v2,others,story_v2_1k+persona_v2+harm_v2,9,0.3214,0.9947586738033685
eval_v2,others,story_v2_1k+persona_v2+harm_v2,10,0.3571,0.983485451835021
eval_v2,others,story_v2_1k+persona_v2+harm_v2,11,0.3929,0.9807660543189372
eval_v2,others,story_v2_1k+persona_v2+harm_v2,12,0.4286,0.9745561413941163
eval_v2,others,story_v2_1k+persona_v2+harm_v2,13,0.4643,0.9697592216005405
eval_v2,others,story_v2_1k+persona_v2+harm_v2,14,0.5,0.958241042436429
eval_v2,others,story_v2_1k+persona_v2+harm_v2,15,0.5357,0.951351029721482
eval_v2,others,story_v2_1k+persona_v2+harm_v2,16,0.5714,0.9259628800106783
eval_v2,others,story_v2_1k+persona_v2+harm_v2,17,0.6071,0.9378063202719606
eval_v2,others,story_v2_1k+persona_v2+harm_v2,18,0.6429,0.9329337832596061
eval_v2,others,story_v2_1k+persona_v2+harm_v2,19,0.6786,0.900787029460659
eval_v2,others,story_v2_1k+persona_v2+harm_v2,20,0.7143,0.917947836222755
eval_v2,others,story_v2_1k+persona_v2+harm_v2,21,0.75,0.923568610964126
eval_v2,others,story_v2_1k+persona_v2+harm_v2,22,0.7857,0.9463176656784338
eval_v2,others,story_v2_1k+persona_v2+harm_v2,23,0.8214,0.9419953972064479
eval_v2,others,story_v2_1k+persona_v2+harm_v2,24,0.8571,0.9421090837831049
eval_v2,others,story_v2_1k+persona_v2+harm_v2,25,0.8929,0.946371817877155
eval_v2,others,story_v2_1k+persona_v2+harm_v2,26,0.9286,0.9515646523056458
eval_v2,others,story_v2_1k+persona_v2+harm_v2,27,0.9643,0.9581787571039725
eval_v2,others,story_v2_1k+persona_v2+harm_v2,28,1.0,0.9673560444776502
eval_v2,story_v2_1k,story_v2_1k,0,0.0,0.0
eval_v2,story_v2_1k,story_v2_1k,1,0.0357,0.9620121990467344
eval_v2,story_v2_1k,story_v2_1k,2,0.0714,0.9614488931046106
eval_v2,story_v2_1k,story_v2_1k,3,0.1071,0.9637589704223133
eval_v2,story_v2_1k,story_v2_1k,4,0.1429,0.9735968565813854
eval_v2,story_v2_1k,story_v2_1k,5,0.1786,0.9963997024713046
eval_v2,story_v2_1k,story_v2_1k,6,0.2143,0.9968399750127572
eval_v2,story_v2_1k,story_v2_1k,7,0.25,0.9962971444672601
eval_v2,story_v2_1k,story_v2_1k,8,0.2857,0.999892915556396
eval_v2,story_v2_1k,story_v2_1k,9,0.3214,0.9986444393427787
eval_v2,story_v2_1k,story_v2_1k,10,0.3571,0.9992766292406751
eval_v2,story_v2_1k,story_v2_1k,11,0.3929,0.9980909416908365
eval_v2,story_v2_1k,story_v2_1k,12,0.4286,0.9988400434165217
eval_v2,story_v2_1k,story_v2_1k,13,0.4643,0.9970060796872647
eval_v2,story_v2_1k,story_v2_1k,14,0.5,0.9996710777107903
eval_v2,story_v2_1k,story_v2_1k,15,0.5357,0.9989647135055323
eval_v2,story_v2_1k,story_v2_1k,16,0.5714,0.9989719836880679
eval_v2,story_v2_1k,story_v2_1k,17,0.6071,0.9990056305894925
eval_v2,story_v2_1k,story_v2_1k,18,0.6429,0.9995022286314453
eval_v2,story_v2_1k,story_v2_1k,19,0.6786,0.9999938324446142
eval_v2,story_v2_1k,story_v2_1k,20,0.7143,0.9999988566448562
eval_v2,story_v2_1k,story_v2_1k,21,0.75,0.9996250927260383
eval_v2,story_v2_1k,story_v2_1k,22,0.7857,0.9999337194388829
eval_v2,story_v2_1k,story_v2_1k,23,0.8214,0.9999276261006583
eval_v2,story_v2_1k,story_v2_1k,24,0.8571,0.9999590931636075
eval_v2,story_v2_1k,story_v2_1k,25,0.8929,0.9990954506029509
eval_v2,story_v2_1k,story_v2_1k,26,0.9286,0.9994937506029956
eval_v2,story_v2_1k,story_v2_1k,27,0.9643,0.9991316113510861
eval_v2,story_v2_1k,story_v2_1k,28,1.0,0.9902231006841378
