probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,auroc_sd,n_draws,axis_mean_paired_cos
eval_v2,harm_v2,3,0.1071,0.5595999999999999,0.15415009351855258,-0.038777072854224465,offdiag_pooled,0.433,433,0,1000,0.567,-0.12142440842185624,0.12142440842185624,0.6,0.007400000000000073,-0.032725685096696336,,,
eval_v2,harm_v2,4,0.1429,0.56145,0.15897735123767218,0.0453408041533322,offdiag_pooled,0.519,519,0,1000,0.519,0.04692514110180654,0.04692514110180654,0.6,-0.04244999999999999,-0.11205221013586564,,,
eval_v2,harm_v2,5,0.1786,0.56745,0.15249402090718406,0.04867824151376543,offdiag_pooled,0.496,496,0,1000,0.504,0.07670948418355442,0.07670948418355442,0.6,-0.06345,-0.07578453672362964,,,
eval_v2,harm_v2,6,0.2143,0.5726000000000001,0.19330901486338697,0.16306393520747373,offdiag_pooled,0.587,587,0,1000,0.587,0.20167625675413503,0.20167625675413503,0.65,0.014399999999999857,0.008367241890748056,,,
eval_v2,harm_v2,7,0.25,0.5513499999999999,0.1451965695095286,0.07298119745692667,offdiag_pooled,0.557,557,0,1000,0.557,0.0990442425778989,0.0990442425778989,0.6,0.005650000000000155,-0.04615232693162971,,,
eval_v2,harm_v2,8,0.2857,0.57205,0.17693025766565523,0.04282818992413003,offdiag_pooled,0.515,515,0,1000,0.515,0.06774346591983456,0.06774346591983456,0.6,-0.057049999999999934,-0.10918679174582067,,,
eval_v2,harm_v2,9,0.3214,0.567,0.16526021568291213,-0.015842164038485373,offdiag_pooled,0.422,422,0,1000,0.5780000000000001,-0.09708282578225982,0.09708282578225982,0.65,0.01100000000000012,-0.06817738990065231,,,
eval_v2,harm_v2,10,0.3571,0.5982999999999999,0.24330992119489436,0.0529418945149061,offdiag_pooled,0.545,545,0,1000,0.545,0.1115197296838646,0.1115197296838646,0.6,-0.0532999999999999,-0.13179019151102978,,,
eval_v2,harm_v2,11,0.3929,0.5776,0.18521091852973381,0.05664623418800902,offdiag_pooled,0.529,529,0,1000,0.529,0.11250160413307671,0.11250160413307671,0.6,-0.04859999999999998,-0.07270931439665711,,,
eval_v2,harm_v2,12,0.4286,0.5795,0.19045425223746026,0.09568555551964603,offdiag_pooled,0.559,559,0,1000,0.559,0.21799890791722182,0.21799890791722182,0.6,-0.020499999999999963,0.027544655679761554,,,
eval_v2,harm_v2,13,0.4643,0.6120000000000001,0.2995605265128046,0.07960163081391979,offdiag_pooled,0.559,559,0,1000,0.559,0.19479918658931544,0.19479918658931544,0.6,-0.05300000000000005,-0.10476133992348918,,,
eval_v2,harm_v2,14,0.5,0.6382000000000001,0.3303399961086485,-0.0648535724656393,offdiag_pooled,0.348,348,0,1000,0.652,-0.3205941918135612,0.3205941918135612,0.7,0.013799999999999923,-0.009745804295087312,,,
eval_v2,harm_v2,15,0.5357,0.6350499999999999,0.333827938681084,-0.0870199362473856,offdiag_pooled,0.335,335,0,1000,0.665,-0.4555766195507278,0.4555766195507278,0.7,0.029950000000000143,0.1217486808696438,,,
eval_v2,harm_v2,16,0.5714,0.6779500000000002,0.4294569886387201,-0.15872739143487216,offdiag_pooled,0.248,248,0,1000,0.752,-0.660689647292848,0.660689647292848,,0.07404999999999984,0.23123265865412784,,,
eval_v2,harm_v2,17,0.6071,0.65465,0.39040912829636903,-0.11029765557509599,offdiag_pooled,0.313,313,0,1000,0.687,-0.5593221913488305,0.5593221913488305,0.75,0.0323500000000001,0.1689130630524615,,,
eval_v2,harm_v2,18,0.6429,0.6439999999999999,0.41475465037829584,-0.09960940264158162,offdiag_pooled,0.311,311,0,1000,0.6890000000000001,-0.5701962984011644,0.5701962984011644,0.75,0.04500000000000015,0.15544164802286853,,,
eval_v2,harm_v2,19,0.6786,0.7276,0.617069900639825,0.0030694646693083935,offdiag_pooled,0.585,585,0,1000,0.585,0.01824200110205123,0.01824200110205123,0.65,-0.14260000000000006,-0.5988278995377738,,,
eval_v2,harm_v2,20,0.7143,0.73445,0.6528753149844062,-0.04894344538279346,offdiag_pooled,0.349,349,0,1000,0.651,-0.4118872387446845,0.4118872387446845,0.7,-0.08345000000000002,-0.24098807623972168,,,
eval_v2,harm_v2,21,0.75,0.6437,0.4298751052382582,0.07841095053077116,offdiag_pooled,0.79,790,0,1000,0.79,0.7023571302689539,0.7023571302689539,,0.14629999999999999,0.27248202503069563,,,
eval_v2,harm_v2,22,0.7857,0.68045,0.5542646504778772,0.033806658842004775,offdiag_pooled,0.655,655,0,1000,0.655,0.3184297528164839,0.3184297528164839,0.7,-0.025449999999999973,-0.23583489766139332,,,
eval_v2,harm_v2,23,0.8214,0.66705,0.48334816168271344,0.045125009913838124,offdiag_pooled,0.681,681,0,1000,0.681,0.41860077054515293,0.41860077054515293,0.75,0.013950000000000018,-0.0647473911375605,,,
eval_v2,harm_v2,24,0.8571,0.7337,0.6642461641774104,0.06917823645999856,offdiag_pooled,0.778,778,0,1000,0.778,0.6749325609494633,0.6749325609494633,,0.044300000000000006,0.010686396772052853,,,
eval_v2,harm_v2,25,0.8929,0.6813500000000001,0.49889737265195705,0.09578970834027208,offdiag_pooled,0.816,816,0,1000,0.816,0.813556531892669,0.813556531892669,,0.13464999999999983,0.3146591592407119,,,
eval_v2,harm_v2,26,0.9286,0.7043999999999999,0.6082160761228631,0.056402600941222215,offdiag_pooled,0.704,704,0,1000,0.704,0.51268392801953,0.51268392801953,0.75,-0.00039999999999995595,-0.0955321481033331,,,
eval_v2,harm_v2,27,0.9643,0.6966,0.5565341366586881,0.03046473783582123,offdiag_pooled,0.612,612,0,1000,0.612,0.2726002507012295,0.2726002507012295,0.65,-0.08460000000000001,-0.2839338859574586,,,
eval_v2,harm_v2,28,1.0,0.6957000000000001,0.5292558301879225,0.11184696923012805,offdiag_pooled,0.822,822,0,1000,0.822,0.9101377621164567,0.9101377621164567,,0.12629999999999986,0.38088193192853415,,,
eval_v2,persona_v2,0,0.0,0.5,nan,0.0,offdiag_pooled,0.5,0,1000,1000,0.5,nan,nan,0.6,0.0,nan,,,
eval_v2,persona_v2,1,0.0357,0.70085,0.5741353022961293,-0.121059439051074,offdiag_pooled,0.304,304,0,1000,0.696,-0.46774264212134925,0.46774264212134925,0.75,-0.004850000000000021,-0.10639266017478005,,,
eval_v2,persona_v2,2,0.0714,0.68855,0.5058300243981881,-0.08811671294406091,offdiag_pooled,0.311,311,0,1000,0.6890000000000001,-0.43099671452152505,0.43099671452152505,0.75,0.00045000000000006146,-0.07483330987666309,,,
eval_v2,persona_v2,3,0.1071,0.69465,0.5246328939858452,0.09581378730638931,offdiag_pooled,0.728,728,0,1000,0.728,0.6332849722468548,0.6332849722468548,,0.03334999999999999,0.10865207826100953,,,
eval_v2,persona_v2,4,0.1429,0.6973499999999999,0.5665574538006057,-0.009831410898787089,offdiag_pooled,0.478,478,0,1000,0.522,0.007774181527985375,0.007774181527985375,0.6,-0.1753499999999999,-0.5587832722726204,,,
eval_v2,persona_v2,5,0.1786,0.7046,0.5663853957502221,0.1266096919502137,offdiag_pooled,0.742,742,0,1000,0.742,0.691186138471959,0.691186138471959,,0.03739999999999999,0.12480074272173691,,,
eval_v2,persona_v2,6,0.2143,0.6697,0.4757746802135715,0.10367080557221243,offdiag_pooled,0.652,652,0,1000,0.652,0.4097557242330459,0.4097557242330459,0.7,-0.017699999999999938,-0.0660189559805256,,,
eval_v2,persona_v2,7,0.25,0.7432000000000001,0.7177219483445773,0.10849349499083889,offdiag_pooled,0.739,739,0,1000,0.739,0.6709868710534772,0.6709868710534772,,-0.0042000000000000925,-0.04673507729110005,,,
eval_v2,persona_v2,8,0.2857,0.74685,0.7010234544026718,0.10026239667926716,offdiag_pooled,0.762,762,0,1000,0.762,0.7642331370100268,0.7642331370100268,,0.015149999999999997,0.06320968260735504,,,
eval_v2,persona_v2,9,0.3214,0.7031,0.5716684571887651,0.08051122774630098,offdiag_pooled,0.734,734,0,1000,0.734,0.6457744416777017,0.6457744416777017,,0.03090000000000004,0.07410598448893657,,,
eval_v2,persona_v2,10,0.3571,0.6875500000000001,0.5327121097586907,0.17556207715516103,offdiag_pooled,0.852,852,0,1000,0.852,1.0396106643889227,1.0396106643889227,,0.16444999999999987,0.506898554630232,,,
eval_v2,persona_v2,11,0.3929,0.71755,0.6235576401266112,0.18297363567194005,offdiag_pooled,0.817,817,0,1000,0.817,0.9599181613981626,0.9599181613981626,,0.09944999999999993,0.33636052127155136,,,
eval_v2,persona_v2,12,0.4286,0.67215,0.48656952244417384,0.21111892507995972,offdiag_pooled,0.862,862,0,1000,0.862,1.1073782606207445,1.1073782606207445,,0.18984999999999996,0.6208087381765707,,,
eval_v2,persona_v2,13,0.4643,0.71275,0.6079693010053554,0.2261900517406567,offdiag_pooled,0.925,925,0,1000,0.925,1.4485894197604663,1.4485894197604663,,0.21225000000000005,0.8406201187551109,,,
eval_v2,persona_v2,14,0.5,0.6979999999999998,0.6042400248975816,0.27998079758533906,offdiag_pooled,0.99,990,0,1000,0.99,1.91953308413191,1.91953308413191,,0.29200000000000015,1.3152930592343286,,,
eval_v2,persona_v2,15,0.5357,0.6268500000000001,0.33438179806703894,0.29552051219278436,offdiag_pooled,0.979,979,0,1000,0.979,1.73011504833004,1.73011504833004,,0.35214999999999985,1.395733250263001,,,
eval_v2,persona_v2,16,0.5714,0.68205,0.49425169979822553,0.36410877885792214,offdiag_pooled,0.991,991,0,1000,0.991,1.7332175410331787,1.7332175410331787,,0.30894999999999995,1.2389658412349531,,,
eval_v2,persona_v2,17,0.6071,0.7128500000000002,0.5802682737809998,0.3324119747859816,offdiag_pooled,0.991,991,0,1000,0.991,1.6875281758264833,1.6875281758264833,,0.2781499999999998,1.1072599020454836,,,
eval_v2,persona_v2,18,0.6429,0.6486000000000001,0.40127642914520856,0.34693055584625404,offdiag_pooled,0.985,985,0,1000,0.985,1.7339686384154571,1.7339686384154571,,0.3363999999999999,1.3326922092702485,,,
eval_v2,persona_v2,19,0.6786,0.6762,0.4722590171412285,0.42093247069899264,offdiag_pooled,0.992,992,0,1000,0.992,1.8709495560284526,1.8709495560284526,,0.31579999999999997,1.3986905388872242,,,
eval_v2,persona_v2,20,0.7143,0.64855,0.3976658023865291,0.3848262373864437,offdiag_pooled,0.989,989,0,1000,0.989,1.8170492825882296,1.8170492825882296,,0.34045000000000003,1.4193834802017005,,,
eval_v2,persona_v2,21,0.75,0.6691999999999999,0.4321706156887776,0.3664670306214285,offdiag_pooled,0.974,974,0,1000,0.974,1.6334468297068374,1.6334468297068374,,0.30480000000000007,1.2012762140180597,,,
eval_v2,persona_v2,22,0.7857,0.6612500000000001,0.4190105341363468,0.3166604063347038,offdiag_pooled,0.969,969,0,1000,0.969,1.5781796998992024,1.5781796998992024,,0.30774999999999986,1.1591691657628556,,,
eval_v2,persona_v2,23,0.8214,0.6480499999999999,0.39617446383661875,0.3234450912995061,offdiag_pooled,0.948,948,0,1000,0.948,1.4485636236948216,1.4485636236948216,,0.29995000000000005,1.052389159858203,,,
eval_v2,persona_v2,24,0.8571,0.6112,0.3156143028405682,0.3212176048548359,offdiag_pooled,0.946,946,0,1000,0.946,1.4070403502525564,1.4070403502525564,,0.3348,1.0914260474119881,,,
eval_v2,persona_v2,25,0.8929,0.6219499999999999,0.29822261954216733,0.2987342513507309,offdiag_pooled,0.925,925,0,1000,0.925,1.2802270988433635,1.2802270988433635,,0.30305000000000015,0.9820044793011962,,,
eval_v2,persona_v2,26,0.9286,0.6740499999999999,0.45382319155065326,0.29499174701054703,offdiag_pooled,0.921,921,0,1000,0.921,1.2584889982460414,1.2584889982460414,,0.2469500000000001,0.8046658066953882,,,
eval_v2,persona_v2,27,0.9643,0.6339499999999999,0.36001268127369396,0.27232666461301974,offdiag_pooled,0.906,906,0,1000,0.906,1.1857887402556742,1.1857887402556742,,0.2720500000000001,0.8257760589819803,,,
eval_v2,persona_v2,28,1.0,0.6192000000000001,0.29686582170319775,0.1251897279378961,offdiag_pooled,0.725,725,0,1000,0.725,0.4602288075371668,0.4602288075371668,,0.1057999999999999,0.16336298583396902,,,
eval_v2,story_v2_1k,0,0.0,0.5,nan,0.0,offdiag_pooled,0.5,0,1000,1000,0.5,nan,nan,0.6,0.0,nan,,,
eval_v2,story_v2_1k,1,0.0357,0.6134000000000001,0.2980546123474933,-0.2730064627126344,offdiag_pooled,0.082,82,0,1000,0.918,-1.3681286996832542,1.3681286996832542,,0.3046,1.0700740873357608,,,
eval_v2,story_v2_1k,2,0.0714,0.6073,0.2719925283957513,-0.27498368422024033,offdiag_pooled,0.077,77,0,1000,0.923,-1.4568522290774029,1.4568522290774029,,0.3157000000000001,1.1848597006816517,,,
eval_v2,story_v2_1k,3,0.1071,0.61765,0.30430973428426883,-0.2667745232377203,offdiag_pooled,0.159,159,0,1000,0.841,-0.9639760523905895,0.9639760523905895,,0.22334999999999994,0.6596663181063207,,,
eval_v2,story_v2_1k,4,0.1429,0.6301,0.33591728871411397,-0.22827430949953675,offdiag_pooled,0.198,198,0,1000,0.802,-0.9115474051479419,0.9115474051479419,,0.17190000000000005,0.5756301164338279,,,
eval_v2,story_v2_1k,5,0.1786,0.6626500000000001,0.4388809476137743,-0.08477990886941962,offdiag_pooled,0.318,318,0,1000,0.6819999999999999,-0.45711264151830944,0.45711264151830944,0.75,0.019349999999999867,0.018231693904535162,,,
eval_v2,story_v2_1k,6,0.2143,0.6222000000000001,0.32266728712900544,-0.07943591288631334,offdiag_pooled,0.387,387,0,1000,0.613,-0.28198014821113576,0.28198014821113576,0.65,-0.009200000000000097,-0.04068713891786968,,,
eval_v2,story_v2_1k,7,0.25,0.6232500000000001,0.32768141389820865,-0.08597674054284943,offdiag_pooled,0.322,322,0,1000,0.6779999999999999,-0.45277995540718957,0.45277995540718957,0.75,0.054749999999999854,0.12509854150898092,,,
eval_v2,story_v2_1k,8,0.2857,0.6523,0.41869435914802156,-0.014634119594003106,offdiag_pooled,0.443,443,0,1000,0.5569999999999999,-0.09760503635513723,0.09760503635513723,0.6,-0.09530000000000005,-0.3210893227928843,,,
eval_v2,story_v2_1k,9,0.3214,0.6737500000000001,0.4682535517811964,-0.052050780556879686,offdiag_pooled,0.34,340,0,1000,0.6599999999999999,-0.40217596882742707,0.40217596882742707,0.7,-0.013750000000000151,-0.06607758295376931,,,
eval_v2,story_v2_1k,10,0.3571,0.7216,0.6305914160140256,-0.03802917780904556,offdiag_pooled,0.371,371,0,1000,0.629,-0.27988209939015485,0.27988209939015485,0.7,-0.09260000000000002,-0.3507093166238707,,,
