probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
story_v2_1k,technique,creative_task_distractor,12,22.948717948717952,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,dev_mode,24,86.73076923076921,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,dev_mode,24,90.51282051282053,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,dev_mode,24,52.62820512820513,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,dev_mode,24,13.525641025641027,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,encoding,8,97.3076923076923,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,encoding,8,89.8076923076923,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,encoding,8,31.53846153846154,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,encoding,8,10.0,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,encyclopedic_framing,8,58.26923076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,encyclopedic_framing,8,28.26923076923077,0.0,75.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,encyclopedic_framing,8,71.73076923076923,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,encyclopedic_framing,8,18.653846153846153,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,evil_confidant,12,69.74358974358975,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,evil_confidant,12,98.46153846153847,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,evil_confidant,12,47.69230769230769,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,evil_confidant,12,43.97435897435898,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,few_shot_json,8,85.96153846153847,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,few_shot_json,8,61.34615384615385,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,few_shot_json,8,74.8076923076923,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,few_shot_json,8,5.769230769230769,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,gcg_transfer,8,88.65384615384616,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,gcg_transfer,8,63.84615384615385,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,gcg_transfer,8,66.15384615384616,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,gcg_transfer,8,9.038461538461538,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,in_the_wild_wrapper,400,83.8423076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,in_the_wild_wrapper,400,89.63846153846154,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,in_the_wild_wrapper,400,72.83461538461539,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,in_the_wild_wrapper,400,24.08076923076923,0.0,93.75,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,narrative_mimicry,300,82.54871794871795,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,narrative_mimicry,300,34.02564102564102,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,narrative_mimicry,300,91.1025641025641,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,narrative_mimicry,300,67.27179487179487,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,nested_fiction,57,49.959514170040485,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,nested_fiction,57,43.049932523616725,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,nested_fiction,57,79.29824561403508,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,nested_fiction,57,29.608636977058026,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,pair_generated,84,36.24542124542125,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,pair_generated,84,53.07692307692308,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,pair_generated,84,77.21611721611723,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,pair_generated,84,24.50549450549451,0.0,94.04761904761905,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,persona_plus_obfuscation,12,89.23076923076923,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,persona_plus_obfuscation,12,48.07692307692308,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,persona_plus_obfuscation,12,48.84615384615385,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,persona_plus_obfuscation,12,12.564102564102566,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,prefix_injection,8,51.34615384615385,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,prefix_injection,8,77.11538461538461,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,prefix_injection,8,68.46153846153847,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,prefix_injection,8,43.65384615384615,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,refusal_suppression,8,73.26923076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,refusal_suppression,8,66.15384615384616,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,refusal_suppression,8,42.5,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,refusal_suppression,8,9.807692307692308,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
eval_v2,technique,style_injection,16,78.9423076923077,0.0,100.0,65,0,64,0.6952307692307692,0.2884,nan
harm_v2,technique,style_injection,16,67.5,0.0,100.0,65,0,64,0.6979538461538461,0.18944615384615385,nan
persona_v2,technique,style_injection,16,29.03846153846154,0.0,100.0,65,0,64,0.886876923076923,0.12632307692307693,nan
story_v2_1k,technique,style_injection,16,18.076923076923077,0.0,100.0,65,0,64,0.9586,0.06301538461538461,nan
