layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
14,0.3333,0.97875,0.9661941460875292,0.35482798429890067,1.1545445916915484,0.49481249999999993,0.6503125000000001,-0.04906965419650078,1.0383702516555786,0.13240250945091248,0.965,0.9292190016490227,0.9568976314636445,0.76
15,0.3571,0.98625,0.975530894051639,0.36693335041210007,1.1787533133392654,0.510375,0.6423750000000001,-0.06254204362630844,1.1277543306350708,0.14144514501094818,0.99,0.9643453316027606,1.0524304791483654,0.765
16,0.381,0.9775,0.9646727180084906,0.37301251128881163,1.1459387848148639,0.4979375000000001,0.617875,-0.07099388539791107,1.0981208086013794,0.1559796780347824,0.99,0.9643453316027606,1.0560918905696386,0.7675
17,0.4048,0.98375,0.9723723038855308,0.3807171174810125,1.1892538997119462,0.5056875000000001,0.6203125,-0.07138914614915848,1.1255180835723877,0.16307564079761505,0.99,0.9643453316027606,1.103546293713485,0.775
18,0.4286,0.99125,0.9820552005928282,0.3850100178779765,1.308306881219778,0.5081875000000001,0.6245624999999999,-0.05846911296248436,1.246050238609314,0.1452295482158661,0.99,0.9643453316027606,1.2051541161674486,0.7825
19,0.4524,0.99125,0.9820552005928282,0.3785445214593271,1.318612561110108,0.49837499999999996,0.5704374999999999,-0.11919577419757843,1.2582381963729858,0.14838865399360657,0.99,0.9643453316027606,1.1928533399646122,0.76
20,0.4762,0.98375,0.9723723038855308,0.37615827825126175,1.273813006664502,0.5087499999999999,0.6165625,-0.218118816614151,1.1828536987304688,0.1482204645872116,0.99,0.9643453316027606,1.2058214583242235,0.75
21,0.5,0.9825,0.9708121428325849,0.3703476976883223,1.2788640102098674,0.5029374999999999,0.6581875,-0.4871590733528137,1.1876447200775146,0.1503332406282425,0.98,0.9495863909101048,1.2096869455552752,0.77
22,0.5238,0.96875,0.9542129288544854,0.3836772118602444,1.2275455491222516,0.4961875,0.6228125,-0.4897257685661316,1.1454905271530151,0.16385234892368317,0.92,0.87333514397792,1.143116539920587,0.76
23,0.5476,0.97,0.9556898080136957,0.38354569557759055,1.2402328229671455,0.5028124999999999,0.591375,-0.43104273080825806,1.1531275510787964,0.17168083786964417,0.925,0.8793157746003386,1.1288197008816032,0.7475
24,0.5714,0.96125,0.9454461671243375,0.4010848865334713,1.2003676256304336,0.5039999999999999,0.657625,-0.37102964520454407,1.1413484811782837,0.1841215342283249,0.905,0.8556233600231478,1.0788134613342746,0.74
25,0.5952,0.93875,0.9198296101992824,0.4066351410768346,1.1900111107896065,0.503375,0.6398125,-0.4069456458091736,1.118157982826233,0.19749628007411957,0.905,0.8556233600231478,1.0836529914277748,0.7375
26,0.619,0.95,0.9325336322061002,0.4192216738978803,1.204847243779968,0.4966875,0.649875,-0.2461974322795868,1.0932849645614624,0.21993818879127502,0.915,0.8673948341704489,1.0969082484667068,0.7325
27,0.6429,0.9475,0.9296947433000233,0.42471428847537884,1.2378013402977246,0.491375,0.6418125,-0.2352105677127838,1.122846007347107,0.2474510222673416,0.91,0.861491791526179,1.1272804616433876,0.7375
28,0.6667,0.95375,0.9368112385081975,0.4319968966660656,1.2472647882305439,0.4979374999999999,0.6405,-0.14779534935951233,1.0368279218673706,0.24521571397781372,0.89,0.838203784430501,1.1281369256912788,0.745
29,0.6905,0.94625,0.9282788957656178,0.4295686362540516,1.2308824513513907,0.49806249999999996,0.671875,-0.1532047837972641,1.0261657238006592,0.26129698753356934,0.895,0.8439812944524978,1.1077971041343229,0.735
30,0.7143,0.9475,0.9296947433000233,0.4271180469249108,1.2163723472198023,0.5034375,0.63325,-0.12139638513326645,0.9711242318153381,0.2653841972351074,0.89,0.838203784430501,1.094158243842358,0.7325
31,0.7381,0.94,0.9212326959600545,0.43178656622372835,1.2060572323174799,0.4914375000000001,0.6314375,-0.14068017899990082,0.9723357558250427,0.27423784136772156,0.895,0.8439812944524978,1.090181645775592,0.735
32,0.7619,0.94875,0.9311129618558722,0.4229055587421269,1.199812438286986,0.50375,0.6745000000000001,-0.15787352621555328,0.9906107783317566,0.26945117115974426,0.895,0.8439812944524978,1.0903844448969882,0.73
33,0.7857,0.9425,0.9240448377087509,0.4217946193638613,1.1788169765139167,0.49812499999999993,0.632375,-0.15699146687984467,0.9742005467414856,0.27385130524635315,0.895,0.8439812944524978,1.08025842603762,0.725
34,0.8095,0.93625,0.9170291324294382,0.4260761350305157,1.1732338057504903,0.50475,0.679875,-0.1053391844034195,0.9592268466949463,0.2802671492099762,0.905,0.8556233600231478,1.0659526330123401,0.7225
35,0.8333,0.93875,0.9198296101992824,0.42948711995198324,1.1733560494397595,0.504375,0.6765625000000001,-0.12490610033273697,0.9235865473747253,0.2768217623233795,0.895,0.8439812944524978,1.0398756844100467,0.7175
36,0.8571,0.93875,0.9198296101992824,0.42426644227016197,1.1632651886636955,0.5095,0.6653125,-0.13118448853492737,0.904435932636261,0.2669972777366638,0.895,0.8439812944524978,1.0194845957756138,0.7125
37,0.881,0.93375,0.9142359081841396,0.418482586861297,1.1578893643929538,0.49775,0.63725,-0.10076252371072769,0.9017425179481506,0.2611308693885803,0.9,0.8497872121322454,1.0113936800704282,0.7125
38,0.9048,0.94125,0.9226377524184626,0.41562373883184833,1.163338587963228,0.5025625,0.6457499999999999,-0.07266232371330261,0.9084371328353882,0.25731605291366577,0.905,0.8556233600231478,1.0179386806159882,0.7125
39,0.9286,0.9375,0.9184284398803504,0.4125381264720274,1.1668031004134582,0.5065624999999999,0.6404375,-0.09458443522453308,0.8727431893348694,0.24656063318252563,0.915,0.8673948341704489,1.0225607409985522,0.7125
40,0.9524,0.94125,0.9226377524184626,0.4017788820653071,1.1779776945052496,0.4919375,0.6369375,-0.08166467398405075,0.8877451419830322,0.22835689783096313,0.91,0.861491791526179,1.0333913070106973,0.7125
41,0.9762,0.9275,0.9072822111823113,0.4004789101966418,1.171575899136738,0.5064374999999999,0.6335624999999998,-0.16787868738174438,0.8639189600944519,0.1957915723323822,0.86,0.804054738880386,1.0246734550476255,0.7075
42,1.0,0.95375,0.9368112385081975,0.3822141794913941,1.23236501567341,0.5046250000000001,0.601875,-0.12811048328876495,0.9951105117797852,0.26022884249687195,0.895,0.8439812944524978,1.1143421593988287,0.725
