layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
30,0.7143,0.99,0.9803915268207586,0.46650948518173413,1.6409767117851581,0.5041249999999999,0.665125,-0.4245668351650238,1.2005482912063599,0.2654818892478943,0.995,0.985,0.995,0.9724581015427949,1.6672362001043306,0.7625
31,0.7381,0.98875,0.97875182327426,0.46878330550319547,1.6126530617169803,0.5029375,0.6491874999999999,-0.4279193580150604,1.1805838346481323,0.27386540174484253,0.995,0.9825,1.0,0.9817246596448641,1.6229068094777626,0.755
32,0.7619,0.98875,0.97875182327426,0.4687727331283281,1.6090878450791246,0.5041875,0.6576875000000001,-0.39665114879608154,1.1995426416397095,0.28100723028182983,0.995,0.9825,1.0,0.9817246596448641,1.623771580989501,0.7675
33,0.7857,0.9875,0.9771325294045115,0.47495206579198807,1.5989631855949564,0.502625,0.6897499999999999,-0.41364187002182007,1.2002989053726196,0.2903083860874176,0.9925,0.9825,1.0,0.9817246596448641,1.6171078089905893,0.7575
34,0.8095,0.9875,0.9771325294045115,0.4698495752331595,1.5618868724381147,0.4960625,0.6620625,-0.5065777897834778,1.1738002300262451,0.2927333414554596,0.995,0.98,1.0,0.9817246596448641,1.6060057936172836,0.76
35,0.8333,0.985,0.9739447388684488,0.46412892278516066,1.5241466442092917,0.48962500000000003,0.6531250000000001,-0.6263181567192078,1.1340422630310059,0.28464627265930176,0.99,0.98,1.0,0.9817246596448641,1.5680593573381405,0.7275
36,0.8571,0.98375,0.9723723038855308,0.460858575716856,1.504947478054738,0.5065624999999999,0.6775624999999998,-0.6592519283294678,1.1216078996658325,0.27681559324264526,0.99,0.9775,1.0,0.9817246596448641,1.5324271093901753,0.7225
37,0.881,0.98375,0.9723723038855308,0.4521710583611491,1.4905606259716166,0.4951250000000001,0.6326250000000001,-0.7175827026367188,1.1168779134750366,0.2754901051521301,0.99,0.9775,0.995,0.9724581015427949,1.522682374023013,0.73
38,0.9048,0.98375,0.9723723038855308,0.4472906427481037,1.4816656207212864,0.5008125,0.65325,-0.7150287628173828,1.1310452222824097,0.2765837609767914,0.99,0.9775,1.0,0.9817246596448641,1.512294780973412,0.74
39,0.9286,0.98625,0.975530894051639,0.4439133347989718,1.4685291942096161,0.4979374999999999,0.6338125000000001,-0.7112012505531311,1.1067947149276733,0.2657254934310913,0.9925,0.98,1.0,0.9817246596448641,1.5037282011534878,0.74
40,0.9524,0.98625,0.975530894051639,0.43575764697048186,1.4555122742408524,0.49275,0.6434375000000001,-0.6783033013343811,1.1102980375289917,0.25772902369499207,0.9925,0.98,1.0,0.9817246596448641,1.4845751040135735,0.7425
41,0.9762,0.98125,0.9692630499191479,0.42175645917560867,1.3793960934307337,0.5033749999999999,0.6893125,-0.7368627190589905,1.0288033485412598,0.2206186205148697,0.99,0.9725,0.99,0.9643453316027606,1.4125138558918455,0.7325
42,1.0,0.99125,0.9820552005928282,0.43780271654591474,1.3668739955731368,0.5041875,0.6711875,-0.34933120012283325,1.0208708047866821,0.34192514419555664,0.995,0.9875,0.99,0.9643453316027606,1.3524503582895993,0.7925
