layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
31,0.7381,0.99875,0.9930553128676283,0.5192413428016764,3.491779716392996,0.5028125000000001,0.6463750000000001,-0.07258094847202301,1.9380687475204468,0.39993029832839966,1.0,0.9817246596448641,3.6817129462758165,0.98
32,0.7619,0.9975,0.990998581994929,0.5181077111516325,3.403600333846571,0.49225,0.6771874999999999,-0.1735554039478302,1.93592369556427,0.3928954601287842,1.0,0.9817246596448641,3.577234190810449,0.9775
33,0.7857,0.9975,0.990998581994929,0.5190361645286591,3.3310713441693656,0.505375,0.6561875,-0.22744111716747284,1.930729866027832,0.38271164894104004,1.0,0.9817246596448641,3.459260059096895,0.9775
34,0.8095,0.9975,0.990998581994929,0.5090118182234703,3.260569643650277,0.49831250000000005,0.703125,-0.22594492137432098,1.9147818088531494,0.37453046441078186,1.0,0.9817246596448641,3.404709937286332,0.98
35,0.8333,0.9975,0.990998581994929,0.5046521247790494,3.237212508583068,0.4980624999999999,0.6815624999999998,-0.2781524062156677,1.9097082614898682,0.3724876940250397,1.0,0.9817246596448641,3.378903286046764,0.9775
36,0.8571,0.9975,0.990998581994929,0.49724443900560655,3.2014943294599587,0.5078750000000001,0.66425,-0.26321467757225037,1.9045006036758423,0.3621062636375427,1.0,0.9817246596448641,3.344565705044237,0.98
37,0.881,0.99625,0.9890803491202564,0.4858363037255164,3.1588387770912916,0.5075624999999999,0.6679375,-0.2474495768547058,1.8965390920639038,0.35589322447776794,1.0,0.9817246596448641,3.3032010401768463,0.98
38,0.9048,0.99625,0.9890803491202564,0.48303326656219137,3.105573619070446,0.510875,0.6568750000000001,-0.2750287353992462,1.8805716037750244,0.3670881390571594,1.0,0.9817246596448641,3.2036550095709027,0.9825
39,0.9286,0.99625,0.9890803491202564,0.4790957327641213,3.173060762236348,0.49224999999999997,0.6869375000000001,-0.24090036749839783,1.8947819471359253,0.35625356435775757,1.0,0.9817246596448641,3.3269088353857104,0.98
40,0.9524,0.995,0.9872478806115466,0.4692626708791989,3.1114570873316323,0.49662500000000004,0.6730625,-0.2919747233390808,1.8858566284179688,0.351251482963562,1.0,0.9817246596448641,3.251627826313218,0.9775
41,0.9762,0.99375,0.9854752894041039,0.4755148061192274,3.043939501433223,0.5076249999999999,0.6801875,-0.3781268000602722,1.8924250602722168,0.33310121297836304,1.0,0.9817246596448641,3.140776665223283,0.97
42,1.0,0.9925,0.983747593946152,0.46015764331308207,2.8113634481911474,0.5060625,0.6376250000000001,-0.41438359022140503,1.8549808263778687,0.46093377470970154,1.0,0.9817246596448641,2.9988495552941856,0.965
