probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
story_v1,category,Physical harm,9,0.0,0.0,0.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Physical harm,9,37.03703703703704,0.0,100.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Privacy,10,86.66666666666667,30.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Privacy,10,60.0,30.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Privacy,10,98.66666666666667,90.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Privacy,10,51.333333333333336,30.0,90.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Privacy,10,6.666666666666667,0.0,10.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Privacy,10,27.333333333333332,0.0,60.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,category,Sexual/Adult content,5,86.66666666666667,0.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,category,Sexual/Adult content,5,82.66666666666667,80.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,category,Sexual/Adult content,5,100.0,100.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,category,Sexual/Adult content,5,45.333333333333336,40.0,60.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,category,Sexual/Adult content,5,0.0,0.0,0.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,category,Sexual/Adult content,5,24.0,0.0,80.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,family,fiction_narrative,35,83.61904761904762,20.0,97.14285714285714,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,family,fiction_narrative,35,57.33333333333334,31.428571428571427,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,family,fiction_narrative,35,99.61904761904762,97.14285714285714,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,family,fiction_narrative,35,83.04761904761904,62.857142857142854,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,family,fiction_narrative,35,8.571428571428573,5.714285714285714,14.285714285714286,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,family,fiction_narrative,35,29.333333333333332,2.857142857142857,60.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,family,hybrid,20,88.33333333333333,20.0,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,family,hybrid,20,67.33333333333333,35.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,family,hybrid,20,97.33333333333333,90.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,family,hybrid,20,74.33333333333333,40.0,100.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,family,hybrid,20,2.6666666666666665,0.0,5.0,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,family,hybrid,20,44.0,0.0,100.0,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,family,nonfiction_other,15,83.55555555555557,6.666666666666667,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,family,nonfiction_other,15,28.0,6.666666666666667,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,family,nonfiction_other,15,97.77777777777779,80.0,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,family,nonfiction_other,15,44.0,13.333333333333334,93.33333333333333,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,family,nonfiction_other,15,1.777777777777778,0.0,13.333333333333334,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,family,nonfiction_other,15,22.666666666666668,0.0,66.66666666666667,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,family,roleplay_persona,30,83.11111111111111,3.3333333333333335,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,family,roleplay_persona,30,66.22222222222223,50.0,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,family,roleplay_persona,30,99.33333333333333,93.33333333333333,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,family,roleplay_persona,30,60.22222222222222,16.666666666666668,90.0,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,family,roleplay_persona,30,0.4444444444444445,0.0,3.3333333333333335,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,family,roleplay_persona,30,30.444444444444446,0.0,83.33333333333333,15,11,25,1.0,0.022564102564102566,0.26895308938815593
