layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
15,0.2344,0.99,0.9803915268207586,0.4815780882102247,2.5986591232694987,0.49262500000000015,0.6339375,-0.408987820148468,1.7702326774597168,0.09207970649003983,0.995,0.9724581015427949,2.6128406128401105,0.94
16,0.25,0.99,0.9803915268207586,0.48328905016770535,2.656452799500578,0.514625,0.630125,-0.3890594244003296,1.7655307054519653,0.09004932641983032,0.995,0.9724581015427949,2.672608961538293,0.9475
17,0.2656,0.9875,0.9771325294045115,0.510529641452109,2.6310076815673455,0.511875,0.6708125,-0.4195418357849121,1.7745490074157715,0.10222749412059784,0.995,0.9724581015427949,2.671141922167293,0.9475
18,0.2812,0.99125,0.9820552005928282,0.5252878048732624,2.656766315446017,0.5111874999999999,0.685875,-0.38245949149131775,1.7946398258209229,0.10816832631826401,0.995,0.9724581015427949,2.6849638015419517,0.95
19,0.2969,0.9875,0.9771325294045115,0.5367008084720889,2.6351896903712215,0.4991250000000001,0.7193125,-0.5143528580665588,1.7960363626480103,0.10682140290737152,0.995,0.9724581015427949,2.707805276423892,0.9525
20,0.3125,0.9875,0.9771325294045115,0.5423521379501028,2.5936807079166213,0.4969374999999999,0.6694375,-0.6067744493484497,1.7838283777236938,0.10969825088977814,0.995,0.9724581015427949,2.663931016439256,0.95
21,0.3281,0.98625,0.975530894051639,0.5454915774914011,2.586860121669632,0.511125,0.665875,-0.5884178876876831,1.7878707647323608,0.10911539942026138,0.995,0.9724581015427949,2.6909171382372894,0.95
22,0.3438,0.98625,0.975530894051639,0.5449422432975659,2.581731858696596,0.49437500000000006,0.7278125,-0.6124826669692993,1.7702871561050415,0.10455728322267532,0.995,0.9724581015427949,2.696735753454102,0.9525
23,0.3594,0.99125,0.9820552005928282,0.5524488670732437,2.6803605035296543,0.5084375,0.6374374999999999,-0.47236332297325134,1.777510643005371,0.11161675304174423,0.995,0.9724581015427949,2.789148312207076,0.9525
24,0.375,0.99375,0.9854752894041039,0.5544408263089383,2.7220716204350612,0.501625,0.7051874999999999,-0.5052369832992554,1.7780526876449585,0.12428928911685944,1.0,0.9817246596448641,2.841391022227137,0.95
25,0.3906,0.9925,0.983747593946152,0.5631679818606589,2.7307162631310926,0.5036875000000001,0.679125,-0.44028353691101074,1.7791165113449097,0.1340959072113037,1.0,0.9817246596448641,2.8345452004534573,0.9475
