layer,depth,lopo_auroc,lopo_ci_lo,mean_paired_cos,cohens_dz_train,null_shuffled_auroc,null_random_dir_abs,min_pair_margin_sd,median_pair_margin_sd,norm_over_sigma,lopo_auroc_task_harmful,lopo_auroc_task_benign,heldout_auroc,heldout_ci_lo,cohens_dz_heldout,acc_at_train_thr
12,0.4286,0.99,0.9803915268207586,0.5713785350049705,1.9169709437718054,0.49456250000000007,0.6633125,-0.14656613767147064,1.7032965421676636,0.1406494826078415,0.985,0.995,1.0,0.9817246596448641,2.27232822699433,0.935
13,0.4643,0.9975,0.990998581994929,0.5753875369917543,2.0675595953679973,0.49399999999999994,0.6880000000000002,-0.028416909277439117,1.7737669944763184,0.14096684753894806,0.995,1.0,1.0,0.9817246596448641,2.569668427118382,0.9475
14,0.5,1.0,0.9953995154792554,0.545826601757316,2.433342451315157,0.49325,0.6388749999999999,0.029974639415740967,1.7691880464553833,0.1351165771484375,1.0,1.0,1.0,0.9817246596448641,2.808477973703298,0.9575
15,0.5357,1.0,0.9953995154792554,0.5230733661917063,2.458882839382805,0.5013750000000001,0.6935,0.1206435114145279,1.5978713035583496,0.14735496044158936,1.0,1.0,1.0,0.9817246596448641,2.4487153176232535,0.9125
16,0.5714,1.0,0.9953995154792554,0.5397649529937255,2.1643875577080145,0.5061875,0.677875,0.0655631497502327,1.4177201986312866,0.16689433157444,1.0,1.0,0.99,0.9643453316027606,2.0492954265251457,0.8525
17,0.6071,1.0,0.9953995154792554,0.5190162458995843,2.003913263547874,0.5030625,0.7054374999999999,0.005187355913221836,1.3553880453109741,0.1745569258928299,1.0,1.0,1.0,0.9817246596448641,1.980882681024573,0.8225
18,0.6429,1.0,0.9953995154792554,0.5283176680086791,1.9862287897842188,0.5093125000000002,0.6758124999999999,0.005294438451528549,1.349673867225647,0.18702757358551025,1.0,1.0,1.0,0.9817246596448641,1.9950923160296994,0.8075
19,0.6786,1.0,0.9953995154792554,0.5012385880692252,2.023623474482799,0.4955000000000001,0.6488125,0.041726063936948776,1.3804479837417603,0.17959046363830566,1.0,1.0,1.0,0.9817246596448641,2.0160477191547237,0.8225
20,0.7143,1.0,0.9953995154792554,0.4971004610605357,1.8636446030888352,0.5040625000000001,0.63925,0.0066377269104123116,1.3400928974151611,0.21345439553260803,1.0,1.0,1.0,0.9817246596448641,1.8739881558539995,0.81
21,0.75,1.0,0.9953995154792554,0.482943161763239,1.9219191331574486,0.495125,0.6861249999999999,0.07470975071191788,1.4183695316314697,0.21700403094291687,1.0,1.0,1.0,0.9817246596448641,1.90380894756163,0.88
22,0.7857,0.99875,0.9930553128676283,0.4715601676822081,1.8501859472392548,0.5081874999999999,0.6320625,-0.025459565222263336,1.4243443012237549,0.22743260860443115,1.0,0.9975,1.0,0.9817246596448641,1.8488738295633513,0.8625
23,0.8214,0.99875,0.9930553128676283,0.4599595959859473,1.8149682264692428,0.5078125000000001,0.6118124999999999,-0.09445943683385849,1.4374860525131226,0.23866111040115356,1.0,0.9975,1.0,0.9817246596448641,1.7987182244944715,0.8825
24,0.8571,0.99875,0.9930553128676283,0.45239773600176525,1.8132002270789305,0.4989375,0.6713125000000001,-0.057609595358371735,1.4473565816879272,0.23895469307899475,1.0,0.9975,1.0,0.9817246596448641,1.7780899396717338,0.8825
25,0.8929,0.99625,0.9890803491202564,0.4380063459673627,1.7245579310306294,0.5065625,0.6356875000000001,-0.1216876208782196,1.4046374559402466,0.22927816212177277,0.9975,0.995,1.0,0.9817246596448641,1.7128147087523076,0.87
26,0.9286,0.99625,0.9890803491202564,0.4318473085899994,1.7179579438584738,0.49412500000000004,0.6601250000000001,-0.08028741180896759,1.3873212337493896,0.22130322456359863,0.995,0.9975,1.0,0.9817246596448641,1.6950457524838283,0.8775
