axis,basis,basis_axes,layer,depth,resid_frac
persona_v2,story_v2_1k,story_v2_1k,20,0.4762,0.9952123020312545
persona_v2,story_v2_1k,story_v2_1k,21,0.5,0.9922269319567685
persona_v2,story_v2_1k,story_v2_1k,22,0.5238,0.9923038954364644
persona_v2,story_v2_1k,story_v2_1k,23,0.5476,0.990365729046587
persona_v2,story_v2_1k,story_v2_1k,24,0.5714,0.9938246141324012
persona_v2,story_v2_1k,story_v2_1k,25,0.5952,0.9909908737995612
persona_v2,story_v2_1k,story_v2_1k,26,0.619,0.9940256848174821
persona_v2,story_v2_1k,story_v2_1k,27,0.6429,0.9927003600643766
persona_v2,story_v2_1k,story_v2_1k,28,0.6667,0.9907149351427883
persona_v2,story_v2_1k,story_v2_1k,29,0.6905,0.9898190582321175
persona_v2,story_v2_1k,story_v2_1k,30,0.7143,0.9914514356710936
persona_v2,story_v2_1k,story_v2_1k,31,0.7381,0.9899286741752018
persona_v2,story_v2_1k,story_v2_1k,32,0.7619,0.989885270086459
persona_v2,story_v2_1k,story_v2_1k,33,0.7857,0.9901574557533437
persona_v2,story_v2_1k,story_v2_1k,34,0.8095,0.9911131260668208
persona_v2,story_v2_1k,story_v2_1k,35,0.8333,0.9906985563486429
persona_v2,story_v2_1k,story_v2_1k,36,0.8571,0.9913136269892562
persona_v2,story_v2_1k,story_v2_1k,37,0.881,0.9910851816287628
persona_v2,story_v2_1k,story_v2_1k,38,0.9048,0.9890038945874754
persona_v2,story_v2_1k,story_v2_1k,39,0.9286,0.9872047787389293
persona_v2,story_v2_1k,story_v2_1k,40,0.9524,0.986769799912142
persona_v2,story_v2_1k,story_v2_1k,41,0.9762,0.9902965507893559
persona_v2,story_v2_1k,story_v2_1k,42,1.0,0.9728952424189998
harm_v2,others,story_v2_1k+persona_v2+eval_v2,0,0.0,0.0
harm_v2,others,story_v2_1k+persona_v2+eval_v2,1,0.0238,0.9501455540816508
harm_v2,others,story_v2_1k+persona_v2+eval_v2,2,0.0476,0.9827741895340159
harm_v2,others,story_v2_1k+persona_v2+eval_v2,3,0.0714,0.983702938741716
harm_v2,others,story_v2_1k+persona_v2+eval_v2,4,0.0952,0.9892626947763784
harm_v2,others,story_v2_1k+persona_v2+eval_v2,5,0.119,0.984838045084997
harm_v2,others,story_v2_1k+persona_v2+eval_v2,6,0.1429,0.9906832719569352
harm_v2,others,story_v2_1k+persona_v2+eval_v2,7,0.1667,0.9930439626576016
harm_v2,others,story_v2_1k+persona_v2+eval_v2,8,0.1905,0.9901568054664034
harm_v2,others,story_v2_1k+persona_v2+eval_v2,9,0.2143,0.9889213666677004
harm_v2,others,story_v2_1k+persona_v2+eval_v2,10,0.2381,0.98782290157711
harm_v2,others,story_v2_1k+persona_v2+eval_v2,11,0.2619,0.9897798827941304
harm_v2,others,story_v2_1k+persona_v2+eval_v2,12,0.2857,0.9938965088371153
harm_v2,others,story_v2_1k+persona_v2+eval_v2,13,0.3095,0.9942631684857565
harm_v2,others,story_v2_1k+persona_v2+eval_v2,14,0.3333,0.9933498365563984
harm_v2,others,story_v2_1k+persona_v2+eval_v2,15,0.3571,0.9945091473429563
harm_v2,others,story_v2_1k+persona_v2+eval_v2,16,0.381,0.9935594747515705
harm_v2,others,story_v2_1k+persona_v2+eval_v2,17,0.4048,0.992826331084246
harm_v2,others,story_v2_1k+persona_v2+eval_v2,18,0.4286,0.9943584400425879
harm_v2,others,story_v2_1k+persona_v2+eval_v2,19,0.4524,0.9947827532702097
harm_v2,others,story_v2_1k+persona_v2+eval_v2,20,0.4762,0.9926483220957518
harm_v2,others,story_v2_1k+persona_v2+eval_v2,21,0.5,0.998123080500994
harm_v2,others,story_v2_1k+persona_v2+eval_v2,22,0.5238,0.996164010252558
harm_v2,others,story_v2_1k+persona_v2+eval_v2,23,0.5476,0.9807259494389003
harm_v2,others,story_v2_1k+persona_v2+eval_v2,24,0.5714,0.9755812921764218
harm_v2,others,story_v2_1k+persona_v2+eval_v2,25,0.5952,0.9770495606425819
harm_v2,others,story_v2_1k+persona_v2+eval_v2,26,0.619,0.9724776702582109
harm_v2,others,story_v2_1k+persona_v2+eval_v2,27,0.6429,0.9675710557288981
harm_v2,others,story_v2_1k+persona_v2+eval_v2,28,0.6667,0.9503826008250882
harm_v2,others,story_v2_1k+persona_v2+eval_v2,29,0.6905,0.9333332309579173
harm_v2,others,story_v2_1k+persona_v2+eval_v2,30,0.7143,0.9304740218716961
harm_v2,others,story_v2_1k+persona_v2+eval_v2,31,0.7381,0.9211634009454303
harm_v2,others,story_v2_1k+persona_v2+eval_v2,32,0.7619,0.9256250873290908
harm_v2,others,story_v2_1k+persona_v2+eval_v2,33,0.7857,0.9064471457963241
harm_v2,others,story_v2_1k+persona_v2+eval_v2,34,0.8095,0.900397229331537
harm_v2,others,story_v2_1k+persona_v2+eval_v2,35,0.8333,0.8901488548530014
harm_v2,others,story_v2_1k+persona_v2+eval_v2,36,0.8571,0.8833812557625944
harm_v2,others,story_v2_1k+persona_v2+eval_v2,37,0.881,0.8865087752118122
harm_v2,others,story_v2_1k+persona_v2+eval_v2,38,0.9048,0.8953719564586087
harm_v2,others,story_v2_1k+persona_v2+eval_v2,39,0.9286,0.9058650679473489
harm_v2,others,story_v2_1k+persona_v2+eval_v2,40,0.9524,0.9112601658810505
harm_v2,others,story_v2_1k+persona_v2+eval_v2,41,0.9762,0.8925246460916576
harm_v2,others,story_v2_1k+persona_v2+eval_v2,42,1.0,0.9313408191609454
harm_v2,story_v2_1k,story_v2_1k,0,0.0,0.0
harm_v2,story_v2_1k,story_v2_1k,1,0.0238,0.9998095443221585
harm_v2,story_v2_1k,story_v2_1k,2,0.0476,0.9893842682887474
harm_v2,story_v2_1k,story_v2_1k,3,0.0714,0.9858169063286275
harm_v2,story_v2_1k,story_v2_1k,4,0.0952,0.9893604379908767
harm_v2,story_v2_1k,story_v2_1k,5,0.119,0.9875252299938512
harm_v2,story_v2_1k,story_v2_1k,6,0.1429,0.9955470174134567
harm_v2,story_v2_1k,story_v2_1k,7,0.1667,0.9954313754797021
harm_v2,story_v2_1k,story_v2_1k,8,0.1905,0.9964689722771577
harm_v2,story_v2_1k,story_v2_1k,9,0.2143,0.9961722885790149
harm_v2,story_v2_1k,story_v2_1k,10,0.2381,0.9988157352444241
harm_v2,story_v2_1k,story_v2_1k,11,0.2619,0.995650512848634
harm_v2,story_v2_1k,story_v2_1k,12,0.2857,0.9952863167561421
harm_v2,story_v2_1k,story_v2_1k,13,0.3095,0.9956894323198067
harm_v2,story_v2_1k,story_v2_1k,14,0.3333,0.9952151160306938
harm_v2,story_v2_1k,story_v2_1k,15,0.3571,0.9952249674435288
harm_v2,story_v2_1k,story_v2_1k,16,0.381,0.9972067517839923
harm_v2,story_v2_1k,story_v2_1k,17,0.4048,0.9967250731686105
harm_v2,story_v2_1k,story_v2_1k,18,0.4286,0.9945088354859662
harm_v2,story_v2_1k,story_v2_1k,19,0.4524,0.9955998575752745
harm_v2,story_v2_1k,story_v2_1k,20,0.4762,0.997656059229283
harm_v2,story_v2_1k,story_v2_1k,21,0.5,0.9991199184545952
harm_v2,story_v2_1k,story_v2_1k,22,0.5238,0.9999957267494957
harm_v2,story_v2_1k,story_v2_1k,23,0.5476,0.999632013970361
harm_v2,story_v2_1k,story_v2_1k,24,0.5714,0.9996115312236626
harm_v2,story_v2_1k,story_v2_1k,25,0.5952,0.9998060814619949
harm_v2,story_v2_1k,story_v2_1k,26,0.619,0.9999576478692227
harm_v2,story_v2_1k,story_v2_1k,27,0.6429,0.999847902582187
harm_v2,story_v2_1k,story_v2_1k,28,0.6667,0.99970016441125
harm_v2,story_v2_1k,story_v2_1k,29,0.6905,0.9999354426551798
harm_v2,story_v2_1k,story_v2_1k,30,0.7143,0.9996851203299258
harm_v2,story_v2_1k,story_v2_1k,31,0.7381,0.9996765124394744
harm_v2,story_v2_1k,story_v2_1k,32,0.7619,0.9994670592195729
harm_v2,story_v2_1k,story_v2_1k,33,0.7857,0.9997263760086224
harm_v2,story_v2_1k,story_v2_1k,34,0.8095,0.9998636780604514
harm_v2,story_v2_1k,story_v2_1k,35,0.8333,0.9998606273473875
harm_v2,story_v2_1k,story_v2_1k,36,0.8571,0.9998075438724261
