probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,auroc_sd,n_draws,axis_mean_paired_cos
harm_v2,story_v2_1k,8,0.1905,0.6695000000000001,0.4727737266110452,0.08396182114556704,offdiag_pooled,0.766,766,0,1000,0.766,0.7266068440041067,0.7266068440041067,,0.09649999999999992,0.25383311739306147,,,
harm_v2,story_v2_1k,9,0.2143,0.6494,0.4186882367757896,0.08741150698450834,offdiag_pooled,0.718,718,0,1000,0.718,0.5672568852909824,0.5672568852909824,0.75,0.0686,0.1485686485151928,,,
harm_v2,story_v2_1k,10,0.2381,0.7006,0.5626947364376166,0.04865313065656325,offdiag_pooled,0.686,686,0,1000,0.686,0.4558256424842857,0.4558256424842857,0.75,-0.014599999999999946,-0.10686909395333088,,,
harm_v2,story_v2_1k,11,0.2619,0.72125,0.6409211988420797,0.09316681874694616,offdiag_pooled,0.847,847,0,1000,0.847,0.9627358354130577,0.9627358354130577,,0.12575000000000003,0.3218146365709781,,,
harm_v2,story_v2_1k,12,0.2857,0.76165,0.8199422273551491,0.09698014123095894,offdiag_pooled,0.887,887,0,1000,0.887,1.1715123795331261,1.1715123795331261,,0.12534999999999996,0.35157015217797705,,,
harm_v2,story_v2_1k,13,0.3095,0.7260500000000001,0.6648882858917304,0.09274995579866749,offdiag_pooled,0.892,892,0,1000,0.892,1.2566475246033741,1.2566475246033741,,0.16594999999999993,0.5917592387116437,,,
harm_v2,story_v2_1k,14,0.3333,0.6845499999999999,0.5282083471431835,0.09770810003580058,offdiag_pooled,0.916,916,0,1000,0.916,1.385482975643762,1.385482975643762,,0.23145000000000016,0.8572746285005786,,,
harm_v2,story_v2_1k,15,0.3571,0.6753000000000001,0.5013752738754113,0.09760770598069964,offdiag_pooled,0.935,935,0,1000,0.935,1.4523238649474373,1.4523238649474373,,0.25969999999999993,0.950948591072026,,,
harm_v2,story_v2_1k,16,0.381,0.7481000000000001,0.779118211819761,0.07469065682662018,offdiag_pooled,0.907,907,0,1000,0.907,1.3135392778744464,1.3135392778744464,,0.15889999999999993,0.5344210660546853,,,
harm_v2,story_v2_1k,17,0.4048,0.6918500000000001,0.5321837604590322,0.0808648778413359,offdiag_pooled,0.918,918,0,1000,0.918,1.371116005757912,1.371116005757912,,0.22614999999999996,0.8389322452988798,,,
harm_v2,story_v2_1k,18,0.4286,0.7087500000000001,0.6067133016207023,0.10465264526754638,offdiag_pooled,0.958,958,0,1000,0.958,1.7740305863431967,1.7740305863431967,,0.24924999999999986,1.1673172847224944,,,
harm_v2,story_v2_1k,19,0.4524,0.73285,0.7205225245116924,0.09370658346517274,offdiag_pooled,0.959,959,0,1000,0.959,1.6977473998540702,1.6977473998540702,,0.22614999999999996,0.9772248753423778,,,
harm_v2,story_v2_1k,20,0.4762,0.75755,0.7751263499067206,0.06842797316556362,offdiag_pooled,0.907,907,0,1000,0.907,1.3363854116750453,1.3363854116750453,,0.14945000000000008,0.5612590617683247,,,
harm_v2,story_v2_1k,21,0.5,0.70335,0.614052320137417,0.04194506406618406,offdiag_pooled,0.758,758,0,1000,0.758,0.6889203221083408,0.6889203221083408,,0.054649999999999976,0.0748680019709238,,,
harm_v2,story_v2_1k,22,0.5238,0.705,0.5787587335716826,-0.002923439188216255,offdiag_pooled,0.487,487,0,1000,0.513,-0.02987012813272054,0.02987012813272054,0.6,-0.19199999999999995,-0.5488886054389621,,,
harm_v2,story_v2_1k,23,0.5476,0.7300500000000001,0.6801436573654611,0.02712630813190913,offdiag_pooled,0.676,676,0,1000,0.676,0.45179866460044843,0.45179866460044843,0.75,-0.05405000000000004,-0.2283449927650127,,,
harm_v2,story_v2_1k,24,0.5714,0.7285999999999999,0.6551823922305909,0.02787089359977558,offdiag_pooled,0.639,639,0,1000,0.639,0.34701832362495283,0.34701832362495283,0.7,-0.0895999999999999,-0.3081640686056381,,,
harm_v2,story_v2_1k,25,0.5952,0.6675,0.4504501671573031,0.019692626864889692,offdiag_pooled,0.571,571,0,1000,0.571,0.2039679256593297,0.2039679256593297,0.65,-0.09650000000000003,-0.24648224149797343,,,
harm_v2,story_v2_1k,26,0.619,0.7218000000000001,0.6674494594435099,0.009203393336129,offdiag_pooled,0.547,547,0,1000,0.547,0.12147721270122303,0.12147721270122303,0.6,-0.17480000000000007,-0.5459722467422868,,,
harm_v2,story_v2_1k,27,0.6429,0.7627499999999999,0.7808616948062818,0.01744051887061335,offdiag_pooled,0.599,599,0,1000,0.599,0.23226746454014835,0.23226746454014835,0.65,-0.16374999999999995,-0.5485942302661334,,,
harm_v2,story_v2_1k,28,0.6667,0.6656,0.44682240401704937,0.024486349653217644,offdiag_pooled,0.641,641,0,1000,0.641,0.3391840553267668,0.3391840553267668,0.7,-0.024599999999999955,-0.10763834869028255,,,
harm_v2,story_v2_1k,29,0.6905,0.6811999999999999,0.48559107485509045,0.011362679872906867,offdiag_pooled,0.563,563,0,1000,0.563,0.14409595729868524,0.14409595729868524,0.6,-0.11819999999999997,-0.3414951175564052,,,
harm_v2,story_v2_1k,30,0.7143,0.6942999999999999,0.544401518579486,0.025093031316428947,offdiag_pooled,0.632,632,0,1000,0.632,0.319643421671378,0.319643421671378,0.7,-0.06229999999999991,-0.22475809690810805,,,
harm_v2,story_v2_1k,31,0.7381,0.69295,0.5343889422367826,0.02543364832108622,offdiag_pooled,0.634,634,0,1000,0.634,0.35877335688073275,0.35877335688073275,0.7,-0.05894999999999995,-0.17561558535604982,,,
harm_v2,story_v2_1k,32,0.7619,0.6465999999999998,0.40726325668073204,0.03264349132395056,offdiag_pooled,0.673,673,0,1000,0.673,0.4553446818034124,0.4553446818034124,0.75,0.0264000000000002,0.04808142512268038,,,
harm_v2,story_v2_1k,33,0.7857,0.675,0.4917908646728245,0.023391731446464132,offdiag_pooled,0.628,628,0,1000,0.628,0.33512914852544434,0.33512914852544434,0.7,-0.04700000000000004,-0.15666171614738017,,,
harm_v2,story_v2_1k,34,0.8095,0.6926499999999999,0.5377237744313403,0.016511368615998216,offdiag_pooled,0.582,582,0,1000,0.582,0.21571333617836402,0.21571333617836402,0.65,-0.11064999999999992,-0.3220104382529763,,,
harm_v2,story_v2_1k,35,0.8333,0.7099499999999999,0.6136968688204094,0.01669508559175206,offdiag_pooled,0.59,590,0,1000,0.59,0.23028045610946346,0.23028045610946346,0.65,-0.11994999999999989,-0.38341641271094595,,,
harm_v2,story_v2_1k,36,0.8571,0.6592,0.4513130004491524,0.01961823723350177,offdiag_pooled,0.599,599,0,1000,0.599,0.296391514668179,0.296391514668179,0.65,-0.06020000000000003,-0.15492148578097342,,,
harm_v2,story_v2_1k,37,0.881,0.6400000000000001,0.36626892351444285,0.032167009345383094,offdiag_pooled,0.685,685,0,1000,0.685,0.45698718859498383,0.45698718859498383,0.75,0.04499999999999993,0.09071826508054098,,,
harm_v2,story_v2_1k,38,0.9048,0.6266,0.3270718390443479,0.030720380573478496,offdiag_pooled,0.671,671,0,1000,0.671,0.4748255807591632,0.4748255807591632,0.75,0.044399999999999995,0.1477537417148153,,,
harm_v2,story_v2_1k,39,0.9286,0.6775500000000001,0.49482260773457015,0.041678262173429584,offdiag_pooled,0.712,712,0,1000,0.712,0.5916584679549617,0.5916584679549617,0.75,0.03444999999999987,0.09683586022039153,,,
harm_v2,story_v2_1k,40,0.9524,0.6654500000000001,0.42517327302344804,0.05607269814905334,offdiag_pooled,0.796,796,0,1000,0.796,0.7639998772122856,0.7639998772122856,,0.13054999999999994,0.33882660418883753,,,
harm_v2,story_v2_1k,41,0.9762,0.6477999999999999,0.38545437003904026,0.10929099367104982,offdiag_pooled,0.853,853,0,1000,0.853,0.9777037201304104,0.9777037201304104,,0.20520000000000005,0.5922493500913701,,,
