axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2_1k,eval_v2,2,0.0476,-0.37532824071581367,0.9960584894622766,0.9851237167007451,-0.37889897906900016
story_v2_1k,eval_v2,3,0.0714,-0.4115971150021849,0.9966061339148415,0.9868224912473659,-0.41504102265081466
story_v2_1k,eval_v2,4,0.0952,-0.336498272115089,0.9966464898490769,0.9893211138866598,-0.33887819783607953
story_v2_1k,eval_v2,5,0.119,-0.22532669742931768,0.9973880865285181,0.987029698375046,-0.2270991209014669
story_v2_1k,eval_v2,6,0.1429,-0.24157727548941152,0.9975204556605957,0.9871825004829423,-0.24344252828244994
story_v2_1k,eval_v2,7,0.1667,-0.1777329302118915,0.9973271073997196,0.9890880489238443,-0.1789499626743471
story_v2_1k,eval_v2,8,0.1905,-0.17095441495790792,0.9972202223536693,0.9886052905004667,-0.17217627889471188
story_v2_1k,eval_v2,9,0.2143,-0.057250353470392146,0.9951406666061716,0.9872809528987302,-0.05775845346713968
story_v2_1k,eval_v2,10,0.2381,-0.04532475065773097,0.9964490190853754,0.9875838470010303,-0.045689972077773915
story_v2_1k,eval_v2,11,0.2619,-0.03511342486680282,0.9972705501113065,0.9881741089862668,-0.0353712134355831
story_v2_1k,eval_v2,12,0.2857,-0.051159009640022485,0.9974219126404038,0.9880169420052826,-0.051534786383686124
story_v2_1k,eval_v2,13,0.3095,-0.021510913804664328,0.9973276035873256,0.9867118658742591,-0.021684267934979344
story_v2_1k,eval_v2,14,0.3333,0.018459182725053706,0.997637955708908,0.9844762926611329,0.018626161139732342
story_v2_1k,eval_v2,15,0.3571,0.013652600358968243,0.9976333024992442,0.9843266981933764,0.013777178213931759
story_v2_1k,eval_v2,16,0.381,0.00400005812636231,0.9977633657473884,0.982649211282699,0.004039738657415609
story_v2_1k,eval_v2,17,0.4048,0.03398475871178722,0.9976494477281705,0.9820694954200556,0.034333975814826216
story_v2_1k,eval_v2,18,0.4286,-0.017948396159671656,0.9982839759813079,0.9819919513499373,-0.018127780447303718
story_v2_1k,eval_v2,19,0.4524,-0.010854960253126008,0.9985558925854735,0.9834067608786,-0.010954068522155965
story_v2_1k,eval_v2,20,0.4762,-0.036566769447520964,0.998852856298771,0.9843457069461317,-0.03687754569940336
story_v2_1k,eval_v2,21,0.5,-0.09699146166280612,0.9988903961925217,0.9835616693667218,-0.09785291951544403
story_v2_1k,eval_v2,22,0.5238,-0.06576359932537812,0.9988315071069139,0.9834541490933207,-0.06635328055677002
story_v2_1k,eval_v2,23,0.5476,-0.08075155841271614,0.99883135977672,0.9811996989077755,-0.08156918531310045
story_v2_1k,eval_v2,24,0.5714,-0.08054276520645363,0.9984747732758825,0.976467117338578,-0.08156975839016276
story_v2_1k,eval_v2,25,0.5952,-0.0726253827279471,0.998345381296819,0.9766325784079011,-0.07354995712258816
story_v2_1k,eval_v2,26,0.619,-0.09975775565154234,0.9981514258963189,0.9772748833460888,-0.10100435170075205
story_v2_1k,eval_v2,27,0.6429,-0.07956403601880385,0.9977942037975651,0.9839041233069714,-0.08030081010579843
story_v2_1k,eval_v2,28,0.6667,-0.07299686730382778,0.9978832914408075,0.9843566967562176,-0.07365260247649927
story_v2_1k,eval_v2,29,0.6905,-0.08841875121957646,0.9977553982829926,0.9855808289285658,-0.08916331570686264
story_v2_1k,eval_v2,30,0.7143,-0.08985600884776691,0.9975803601861333,0.9877712827541721,-0.09052009090124596
story_v2_1k,eval_v2,31,0.7381,-0.09952570773194971,0.9975440547155171,0.9879909601795646,-0.10025193105917268
